qual,avg_expr,introns,intronsize,exonsize,avgintronsize
T25E12.6,39.67,2,1299,957,649.50
T25E4.1,46.5,4,637,735,159.25
T25F10.3,5,6,983,1230,163.83
T25F10.6,252.67,6,1258,1221,209.67
T25G12.4,18.29,5,1088,618,217.60
T25G12.7,7.33,3,310,789,103.33
T25G3.3,10.71,6,743,1590,123.83
T26A5.4,7.5,5,602,1464,120.40
T26A5.5,8.33,14,1518,3213,108.43
T26A5.7,20.33,3,281,729,93.67
T26A5.8,10.33,2,101,414,50.50
T26A5.9,187.13,1,282,270,282.00
T26A8.1,9,10,2323,2127,232.30
T26A8.4,10.75,4,354,1725,88.50
T26C11.3,14,2,1983,294,991.50
T26C12.1,18.86,4,2520,1869,630.00
T26C12.3,13,7,9223,1920,1317.57
T26C5.1,40.4,2,112,627,56.00
T26C5.2,14.67,7,1118,1665,159.71
T26C5.4,37.5,2,896,408,448.00
T26E3.2,7.5,8,1487,1098,185.88
T26E3.3,14.67,6,3484,948,580.67
T26E3.4,10.83,4,1950,924,487.50
T26F2.2,2,8,1911,1506,238.88
T26G10.1,9,3,574,1470,191.33
T26H2.1,5,1,55,1218,55.00
T26H2.3,4,1,52,1158,52.00
T26H2.9,3.75,9,2708,1449,300.89
T27A1.4,19.4,4,2392,1173,598.00
T27A1.5,13,5,1903,1350,380.60
T27A10.3,18.33,5,1094,1029,218.80
T27A10.6,9,14,4140,2607,295.71
T27A10.7,16,7,2023,1026,289.00
T27A3.1,13.8,13,2145,1824,165.00
T27A3.2,9.33,12,1931,2277,160.92
T27A3.3,8,0,0,330,0.00
T27A3.5,3,4,212,1098,53.00
T27A3.6,6.8,5,718,1023,143.60
T27A3.7,7,5,240,1122,48.00
T27B1.2,27,6,1476,1848,246.00
T27B7.6,6,6,1732,1275,288.67
T27C10.3,8,4,1031,1020,257.75
T27C10.5,13,7,1948,3273,278.29
T27C4.1,23.8,5,2240,897,448.00
T27C5.9,4,1,122,4917,122.00
T27D12.1,49,6,1047,1482,174.50
T27E4.1,3,6,708,990,118.00
T27E4.3,271.14,1,57,432,57.00
T27E4.4,76.29,1,52,270,52.00
T27E4.7,28.2,2,972,222,486.00
T27E9.1,561,3,212,903,70.67
T27E9.2,231,0,0,228,0.00
T27E9.3,5.5,5,609,879,121.80
T27E9.4,6,10,3063,1878,306.30
T27F2.1,13.67,5,2879,1608,575.80
T27F2.3,23.29,1,46,468,46.00
T27F2.4,13.8,1,53,498,53.00
T27F6.6,4.67,5,2053,1338,410.60
T27F6.7,7.8,3,1594,774,531.33
T27F6.8,9.8,2,875,906,437.50
T27F7.2,8,12,13796,2199,1149.67
T27F7.3,10.5,5,1375,852,275.00
T28A11.16,2,2,100,600,50.00
T28A8.6,11,6,291,1884,48.50
T28A8.7,10.25,8,3118,2340,389.75
T28B4.3,24.63,2,126,426,63.00
T28B8.1,59.33,1,81,513,81.00
T28B8.2,8,1,461,201,461.00
T28C12.3,3,4,297,1293,74.25
T28C12.6,8,7,919,1002,131.29
T28C6.2,9.67,0,0,129,0.00
T28C6.3,15,1,208,603,208.00
T28C6.4,404,1,261,900,261.00
T28C6.7,6.5,20,5587,6996,279.35
T28D6.2,4,4,2015,1335,503.75
T28D6.3,35.75,2,1201,363,600.50
T28D6.4,12.25,6,2583,2976,430.50
T28D6.7,7.33,4,1405,969,351.25
T28D9.1,57.88,2,442,390,221.00
T28D9.10,41.43,3,312,381,104.00
T28D9.2,22.75,3,429,627,143.00
T28D9.4,32,4,996,1305,249.00
T28F2.2,4.83,6,1027,687,171.17
T28F2.4,4.75,8,2753,2454,344.13
T28F2.6,127.67,1,49,1257,49.00
T28F2.8,38,0,0,1308,0.00
T28F3.8,10.5,7,1360,1647,194.29
T28F4.1,19.17,2,286,858,143.00
T28F4.4,8,9,1231,2154,136.78
T28F4.5,55,1,52,318,52.00
T28H10.1,3,5,502,900,100.40
T28H10.2,11.25,2,765,597,382.50
T28H11.1,24.67,1,50,1167,50.00
T28H11.5,29.5,2,106,1218,53.00
VC5.1,78.5,3,914,525,304.67
VF36H2L.1,6,3,395,927,131.67
VF39H2L.1,6,5,877,753,175.40
VW02B12L.3,24,3,157,900,52.33
W01A11.1,28.57,7,1797,1359,256.71
W01A11.2,11,4,210,1080,52.50
W01A11.3,18.75,9,4823,2472,535.89
W01A11.4,90,2,119,579,59.50
W01A11.5,12.25,7,1485,2241,212.14
W01A11.6,5.5,5,1135,504,227.00
W01A8.1,23.86,6,852,1248,142.00
W01A8.2,7.75,6,1768,792,294.67
W01A8.4,95.29,0,0,264,0.00
W01A8.5,7,4,217,936,54.25
W01A8.6,5,6,1532,1122,255.33
W01B11.3,79,4,242,1464,60.50
W01B11.5,2.5,6,3511,1143,585.17
W01B11.6,27.8,2,355,213,177.50
W01B6.2,3,5,566,1101,113.20
W01C8.2,10,4,225,960,56.25
W01C8.5,16.75,9,832,1878,92.44
W01C9.3,70,13,1440,2379,110.77
W01D2.5,34.75,5,591,1047,118.20
W01F3.3,43,16,6400,6678,400.00
W01G7.3,25.29,2,107,369,53.50
W01G7.4,4,3,990,756,330.00
W02A11.2,7.67,3,2226,468,742.00
W02A11.3,13.33,4,1405,1470,351.25
W02B12.1,6.5,9,1107,1245,123.00
W02B12.10,20,3,539,771,179.67
W02B12.2,52,4,445,846,111.25
W02B12.3,60.5,5,724,939,144.80
W02B12.7,2.5,6,1791,1818,298.50
W02B12.8,9.67,8,2291,1335,286.38
W02B12.9,9,3,719,939,239.67
W02B8.2,6,5,2434,3771,486.80
W02B8.3,13,7,1105,2232,157.86
W02B9.1,17.25,10,14327,3651,1432.70
W02C12.1,20.33,7,1837,4119,262.43
W02C12.3,36,9,1744,1497,193.78
W02D3.1,39.57,1,53,426,53.00
W02D3.2,6.5,3,2249,1236,749.67
W02D3.3,2,6,1738,1149,289.67
W02D3.5,263.38,1,556,408,556.00
W02D3.7,58.57,1,531,411,531.00
W02D3.9,27,5,972,1839,194.40
W02D7.2,7,7,2682,1374,383.14
W02D7.3,6.5,2,609,432,304.50
W02D7.4,20,5,232,699,46.40
W02D7.5,8.5,5,771,651,154.20
W02D7.6,5.67,4,384,1050,96.00
W02D7.7,83.57,3,320,612,106.67
W02D9.1,11,4,1868,1302,467.00
W02D9.10,17.5,1,52,549,52.00
W02D9.2,17.86,5,695,849,139.00
W02D9.5,19,1,72,339,72.00
W02D9.6,25.67,0,0,261,0.00
W02D9.7,95.33,0,0,294,0.00
W02D9.9,2,2,97,222,48.50
W02F12.2,18.83,7,1659,951,237.00
W02F12.3,24.33,3,154,1167,51.33
W02F12.4,5.6,7,1065,1245,152.14
W02F12.5,46.71,6,449,1359,74.83
W02F12.6,29.88,4,788,588,197.00
W02G9.4,18.25,4,2402,867,600.50
W03A5.3,16,8,5804,1374,725.50
W03A5.4,4,3,1287,930,429.00
W03A5.5,4,4,522,591,130.50
W03B1.4,8,7,1133,1641,161.86
W03B1.6,6.5,4,728,1038,182.00
W03B1.7,12,4,1310,915,327.50
W03C9.2,5,6,1477,1257,246.17
W03C9.3,10,4,626,630,156.50
W03C9.5,38.88,2,98,240,49.00
W03D2.5,14,3,901,531,300.33
W03D2.9,15,2,881,348,440.50
W03D8.2,4,3,543,1095,181.00
W03D8.3,4,2,852,369,426.00
W03F11.1,105,3,2046,708,682.00
W03F11.5,2,5,6978,1113,1395.60
W03F8.1,4,3,1709,594,569.67
W03F8.4,10.33,3,219,552,73.00
W03F9.10,20.71,3,1508,1809,502.67
W03F9.4,15,3,1154,1872,384.67
W03G11.1,312.5,0,0,840,0.00
W03G9.1,12.5,7,1255,1950,179.29
W03G9.4,14,7,340,1851,48.57
W04A4.5,5.67,4,5509,2580,1377.25
W04A8.1,16.5,8,2581,2004,322.63
W04A8.3,6,1,309,948,309.00
W04A8.4,55.25,2,104,390,52.00
W04A8.5,6,1,227,873,227.00
W04B5.1,13.83,2,402,438,201.00
W04B5.2,2,4,2067,1059,516.75
W04B5.3,20,10,3889,1275,388.90
W04B5.4,7.8,4,3927,594,981.75
W04B5.6,3.5,4,1146,540,286.50
W04C9.1,11,6,1793,1896,298.83
W04C9.2,66.75,3,853,309,284.33
W04C9.4,29,2,112,453,56.00
W04C9.6,10,9,3550,1980,394.44
W04D2.3,6.2,8,2272,1398,284.00
W04D2.4,16.5,6,1059,1875,176.50
W04D2.5,39.5,1,623,627,623.00
W04E12.2,8,2,636,600,318.00
W04E12.6,27.8,3,1215,966,405.00
W04E12.8,92.4,3,1926,966,642.00
W04G3.1,54.33,5,639,1008,127.80
W04G3.2,37.8,5,257,1698,51.40
W04G3.3,52,5,381,1002,76.20
W04G3.5,26.71,7,1065,1062,152.14
W05B10.1,24.5,1,49,411,49.00
W05B10.2,8.75,3,147,603,49.00
W05B10.4,2.5,2,609,768,304.50
W05B2.1,412,1,51,915,51.00
W05B2.7,4.33,4,999,948,249.75
W05B5.1,10.33,4,1803,630,450.75
W05E10.1,4.67,7,654,1455,93.43
W05E10.4,11.6,11,4249,1767,386.27
W05E7.1,56.33,5,901,1080,180.20
W05F2.3,75.4,2,118,669,59.00
W05F2.4,13,12,5469,2559,455.75
W05F2.6,9.75,7,1168,1371,166.86
W05G11.2,10,4,546,663,136.50
W05G11.3,36,0,0,909,0.00
W05G11.6,59.57,4,1320,1956,330.00
W05H5.3,10,8,891,1563,111.38
W05H7.3,14.86,2,465,426,232.50
W05H9.1,37.8,6,363,1245,60.50
W05H9.2,8,11,2291,4743,208.27
W05H9.3,68.14,0,0,138,0.00
W06A7.2,23.83,4,974,531,243.50
W06A7.5,251.67,0,0,105,0.00
W06B11.1,34,6,1829,870,304.83
W06B11.2,26,8,1078,2124,134.75
W06B11.3,3,5,748,798,149.60
W06B11.4,20,4,668,618,167.00
W06B4.2,7,5,1223,1566,244.60
W06D12.3,20,2,715,1002,357.50
W06D4.2,6,3,390,753,130.00
W06E11.2,8,3,162,591,54.00
W06H3.1,27,6,1327,1992,221.17
W06H3.2,14.71,4,870,1248,217.50
W07A12.7,78.5,3,408,1509,136.00
W07B8.2,4,2,1619,414,809.50
W07B8.3,13.2,2,2380,405,1190.00
W07B8.4,7,2,717,1008,358.50
W07B8.5,91.2,2,238,1035,119.00
W07E11.2,7,3,151,555,50.33
W07E6.2,11,7,2146,1422,306.57
W07E6.4,25,8,3459,1968,432.38
W07G4.4,28,4,607,1569,151.75
W07G4.5,50.86,3,502,1197,167.33
W08A12.1,12.17,4,3920,1458,980.00
W08A12.3,13.5,2,1041,597,520.50
W08A12.4,2,6,1025,1005,170.83
W08D2.5,7,19,3312,3564,174.32
W08D2.6,42,2,99,1077,49.50
W08D2.7,7.67,17,1737,3081,102.18
W08E3.1,33.17,2,113,483,56.50
W08E3.3,24.14,3,2208,1188,736.00
W08F4.3,16.4,3,535,687,178.33
W08F4.6,23.33,3,1723,885,574.33
W08F4.8,30.29,2,690,1113,345.00
W09B6.1,32.86,7,2289,6165,327.00
W09B6.2,7.33,12,3877,2124,323.08
W09C2.3,15.71,9,1393,3750,154.78
W09C3.1,4,5,385,1290,77.00
W09C3.4,6,2,205,891,102.50
W09C3.6,12,2,152,918,76.00
W09C3.7,13.25,2,265,519,132.50
W09C5.5,9.5,10,5814,2169,581.40
W09D10.1,24.67,3,1046,1488,348.67
W09D10.3,20.4,2,110,522,55.00
W09D10.5,4,3,966,1077,322.00
W09D12.1,16.4,16,3628,2148,226.75
W09D6.4,9,1,137,447,137.00
W09D6.5,22.29,4,2111,774,527.75
W09G10.1,13,0,0,669,0.00
W09G10.4,11,14,9750,3810,696.43
W09G12.4,7,1,57,759,57.00
W09G3.2,12,4,3694,1287,923.50
W09H1.3,3.5,1,254,318,254.00
W09H1.5,11,3,167,1035,55.67
W10C6.1,6.33,9,3013,4386,334.78
W10C8.5,61.86,3,426,1200,142.00
W10D5.2,92.86,3,1576,600,525.33
W10D9.3,4,8,2923,1185,365.38
W10D9.5,69,1,1633,330,1633.00
W10G11.19,14.5,7,1465,1392,209.29
W10G6.2,8.75,8,3013,1269,376.63
W10G6.3,37.67,5,1465,1746,293.00
Y102A5B.3,3.75,5,554,1107,110.80
Y102A5C.10,18.5,3,491,522,163.67
Y102A5C.18,11,6,5705,1029,950.83
Y102A5C.22,4,6,569,942,94.83
Y102E9.1,23.14,4,295,1422,73.75
Y106G6A.1,3,6,616,1293,102.67
Y106G6A.2,4.25,2,109,891,54.50
Y106G6A.3,19.43,1,48,540,48.00
Y106G6A.5,6.25,3,490,633,163.33
Y106G6D.2,4,1,102,747,102.00
Y106G6D.4,9,12,1772,1539,147.67
Y106G6D.5,3,8,450,2082,56.25
Y106G6D.6,7.67,3,783,300,261.00
Y106G6E.4,8,2,372,621,186.00
Y106G6H.13,17.33,0,0,417,0.00
Y106G6H.14,9,4,380,711,95.00
Y106G6H.15,18.5,2,107,732,53.50
Y106G6H.16,10.5,3,177,414,59.00
Y106G6H.2,514.38,5,257,1941,51.40
Y106G6H.3,765.5,2,244,342,122.00
Y106G6H.4,19,2,96,705,48.00
Y106G6H.7,10.67,16,2567,2718,160.44
Y11D7A.11,14.33,3,149,942,49.67
Y11D7A.12,25,2,98,1506,49.00
Y11D7A.13,8,2,208,1323,104.00
Y11D7A.3,28.86,8,2804,1428,350.50
Y11D7A.4,22,6,1040,747,173.33
Y11D7A.5,9,3,292,486,97.33
Y11D7A.9,13,7,960,894,137.14
Y12A6A.1,16,3,913,630,304.33
Y17D7B.4,25,0,0,450,0.00
Y17G7A.1,43,1,52,948,52.00
Y17G7B.17,15.5,4,6580,582,1645.00
Y17G7B.3,18.5,2,2022,783,1011.00
Y17G7B.5,21.71,3,2296,2646,765.33
Y17G7B.7,76.29,2,1139,744,569.50
Y19D2B.1,55.5,1,47,258,47.00
Y1A5A.1,9,1,559,579,559.00
Y22F5A.3,7.2,4,484,705,121.00
Y22F5A.4,179,1,196,897,196.00
Y22F5A.5,148.8,1,239,840,239.00
Y23H5A.1,4,6,1454,693,242.33
Y23H5A.3,13,3,158,924,52.67
Y23H5A.5,15,3,2465,786,821.67
Y23H5A.7,7.5,6,2500,2730,416.67
Y32B12B.4,7,7,5366,4638,766.57
Y32F6A.1,7,8,2920,1032,365.00
Y32F6A.3,20.33,3,985,1968,328.33
Y32F6B.1,6.33,9,1203,2277,133.67
Y37A1A.2,9.5,6,4866,1413,811.00
Y37A1B.5,52.67,5,3998,1416,799.60
Y37A1B.7,59.5,3,549,528,183.00
Y37D8A.1,34.29,3,625,552,208.33
Y37D8A.10,31.43,1,56,543,56.00
Y37D8A.13,34,5,7296,3129,1459.20
Y37D8A.14,421,3,391,525,130.33
Y37D8A.15,12,4,3923,660,980.75
Y37D8A.16,111.5,3,2888,492,962.67
Y37D8A.18,23.13,2,759,471,379.50
Y37D8A.19,135.75,2,1194,306,597.00
Y37D8A.2,15,8,3655,1716,456.88
Y37D8A.21,15,5,2966,849,593.20
Y37D8A.23,9,7,5541,1527,791.57
Y37D8A.3,8.8,6,6852,921,1142.00
Y37D8A.4,17,2,838,684,419.00
Y37D8A.6,20.14,2,550,399,275.00
Y37D8A.9,15.25,3,2135,1008,711.67
Y37E11B.2,22.17,3,344,654,114.67
Y37E11B.3,8,2,1361,474,680.50
Y37E11B.6,5,2,116,411,58.00
Y37E11B.9,18,5,880,795,176.00
Y38A8.1,7,1,46,567,46.00
Y38A8.2,46,2,104,615,52.00
Y38A8.3,14,14,1077,2763,76.93
Y38H6C.1,385.14,1,755,273,755.00
Y38H6C.11,4.67,4,757,1092,189.25
Y38H6C.16,9,5,1240,735,248.00
Y38H8A.1,5,2,1049,819,524.50
Y39A1A.1,18.6,4,1859,1368,464.75
Y39A1A.11,7,5,1306,891,261.20
Y39A1A.12,14.33,3,921,1911,307.00
Y39A1A.13,7,6,1491,1164,248.50
Y39A1A.14,19.75,1,339,696,339.00
Y39A1A.20,6,4,890,387,222.50
Y39A1A.21,10.33,3,5445,567,1815.00
Y39A1A.6,21.17,3,1548,783,516.00
Y39A1A.7,15.43,2,1596,564,798.00
Y39A1A.8,3.5,5,1602,753,320.40
Y39A1A.9,15,6,2307,2007,384.50
Y39A1B.3,10,11,7081,3831,643.73
Y39A1C.1,13.83,2,926,354,463.00
Y39A1C.2,10.5,12,5377,3201,448.08
Y39E4A.3,17.83,3,2168,1437,722.67
Y40B1B.3,25,1,62,1032,62.00
Y40B1B.5,12.5,2,1570,639,785.00
Y40B1B.6,9,7,9564,2313,1366.29
Y40D12A.1,2.5,10,2435,1587,243.50
Y40D12A.2,9.8,9,993,1539,110.33
Y41C4A.10,25.14,2,100,357,50.00
Y41C4A.11,4,6,2465,1161,410.83
Y41C4A.13,55.63,2,3641,312,1820.50
Y41C4A.8,4.2,2,1080,702,540.00
Y41E3.1,12.8,7,2322,2145,331.71
Y41E3.2,796,2,242,870,121.00
Y41E3.4,11.17,5,2196,2361,439.20
Y41E3.5,41.5,1,51,135,51.00
Y41E3.7,5.6,5,4226,1017,845.20
Y41E3.8,44.57,2,147,333,73.50
Y42A5A.2,4,6,638,1923,106.33
Y42A5A.3,7.8,2,98,345,49.00
Y43C5A.2,19.4,10,1393,1359,139.30
Y43C5A.3,18,1,658,327,658.00
Y43C5A.5,18.5,4,1101,810,275.25
Y43C5A.6,14.67,6,1009,1176,168.17
Y43E12A.1,11.5,2,136,996,68.00
Y43E12A.2,10.67,6,2031,882,338.50
Y43F4A.1,2,11,4193,1992,381.18
Y43F4B.1,5.5,3,1154,1035,384.67
Y43F4B.2,6.83,6,377,1056,62.83
Y43F4B.4,34.75,6,850,1092,141.67
Y43F4B.5,30.14,5,1476,1788,295.20
Y43F4B.6,17.33,6,932,3252,155.33
Y43F4B.7,15.5,16,5268,1824,329.25
Y44A6C.1,16.4,8,1508,1167,188.50
Y44A6D.2,43.71,2,706,231,353.00
Y44A6D.3,6.5,3,683,693,227.67
Y45F10A.1,4,2,623,879,311.50
Y45F10A.3,7,3,2862,726,954.00
Y45F10A.5,101,1,61,252,61.00
Y45F10A.8,6,4,1112,924,278.00
Y45F10B.10,5,9,2469,3306,274.33
Y45F10C.2,122,2,99,354,49.50
Y45F10C.3,22.33,4,209,1179,52.25
Y45F10C.4,43.33,2,368,375,184.00
Y45F10C.5,8,0,0,588,0.00
Y45F10D.11,15,5,1988,1224,397.60
Y45F10D.12,695.63,4,299,567,74.75
Y45F10D.13,16,6,5308,1227,884.67
Y45F10D.3,6,7,1082,2055,154.57
Y45F10D.4,28.5,3,181,462,60.33
Y45F10D.9,5,3,234,1479,78.00
Y45F3A.3,14.71,7,3424,1854,489.14
Y47H9C.1,17.33,5,1018,1134,203.60
Y47H9C.2,5.75,7,3319,1107,474.14
Y47H9C.4,17,10,12831,3336,1283.10
Y47H9C.5,18.5,6,6987,2367,1164.50
Y47H9C.7,19.14,3,991,1023,330.33
Y48A6A.1,7,4,1364,795,341.00
Y48A6B.3,49.38,2,99,492,49.50
Y48A6B.5,10,3,771,627,257.00
Y48A6B.7,17.8,2,751,507,375.50
Y48A6B.9,3.75,6,1675,1041,279.17
Y48E1B.12,22,3,175,750,58.33
Y48E1B.3,6.5,5,18959,1083,3791.80
Y48E1B.5,13.75,13,4963,1908,381.77
Y48E1B.8,19.25,4,2109,1152,527.25
Y48E1C.2,5,5,3270,1110,654.00
Y51A2B.1,15,1,59,297,59.00
Y51A2D.1,2,4,2586,1149,646.50
Y51A2D.10,21.8,2,812,426,406.00
Y51A2D.11,17.67,2,979,435,489.50
Y51A2D.13,15.33,7,2852,1464,407.43
Y51A2D.14,256.88,1,56,165,56.00
Y51A2D.16,23.75,15,9125,3501,608.33
Y51A2D.4,24.67,7,5010,1821,715.71
Y51A2D.9,47,2,671,426,335.50
Y51B9A.4,25,2,105,1005,52.50
Y51H1A.4,20,5,4740,1473,948.00
Y51H1A.7,8,1,1240,1065,1240.00
Y52B11A.3,3,7,7494,1626,1070.57
Y52B11A.9,14,4,3521,1215,880.25
Y52B11B.1,34,1,57,279,57.00
Y53C12A.1,8,6,339,2034,56.50
Y53C12A.3,12,10,714,1674,71.40
Y53C12A.4,7,5,735,1017,147.00
Y53C12B.1,7.5,4,563,2382,140.75
Y53C12B.2,26,6,2673,834,445.50
Y53C12B.6,14,5,1549,1149,309.80
Y54E2A.10,9,6,540,918,90.00
Y54E2A.11,21.6,4,245,2178,61.25
Y54E2A.3,18.57,2,119,783,59.50
Y54E5B.1,8.5,12,5736,2139,478.00
Y54E5B.2,3.5,9,1890,2586,210.00
Y54E5B.3,3,4,364,762,91.00
Y54E5B.4,16.14,3,1212,459,404.00
Y54G9A.5,7.5,4,1208,774,302.00
Y54G9A.6,14.71,2,2355,1032,1177.50
Y55D9A.1,12.33,9,6183,2451,687.00
Y55H10A.1,42.25,5,2377,1356,475.40
Y57A10C.6,28,3,850,1239,283.33
Y57G11A.1,21,7,7496,1797,1070.86
Y57G11B.2,4,3,1439,924,479.67
Y57G11B.5,6,2,1042,678,521.00
Y57G11C.11,10.5,4,2316,807,579.00
Y57G11C.12,113.86,1,50,396,50.00
Y57G11C.13,11.17,2,99,558,49.50
Y57G11C.15,211.75,3,596,1422,198.67
Y57G11C.16,458.5,2,205,465,102.50
Y57G11C.17,12.5,3,473,1386,157.67
Y57G11C.25,6,1,55,600,55.00
Y57G11C.3,18.6,0,0,774,0.00
Y57G11C.31,6,4,2949,1278,737.25
Y57G11C.5,3,2,338,711,169.00
Y57G7A.10,20,7,2587,885,369.57
Y59C2A.3,8,4,1498,2148,374.50
Y5F2A.1,753.63,2,98,399,49.00
Y5F2A.2,21.33,2,552,396,276.00
Y5F2A.4,3,8,1052,1365,131.50
Y62H9A.3,21.5,3,143,645,47.67
Y62H9A.4,17,2,396,639,198.00
Y62H9A.5,87.75,3,198,372,66.00
Y62H9A.6,84.33,2,285,546,142.50
Y63D3A.2,6,1,4644,954,4644.00
Y63D3A.4,3,6,2304,1089,384.00
Y63D3A.7,77.63,3,214,354,71.33
Y66A7A.2,3,3,1289,477,429.67
Y66A7A.6,28.17,8,1709,1266,213.63
Y66A7A.7,13.6,3,2281,354,760.33
Y66H1B.2,31,13,5503,4203,423.31
Y66H1B.4,14.86,9,1521,1659,169.00
Y70C5C.2,5,3,362,1140,120.67
Y71H10A.1,20.86,6,1851,2487,308.50
Y71H10B.1,21,8,1757,1581,219.63
Y73A3A.1,9.83,5,3114,1134,622.80
Y73C8C.2,3,6,678,1128,113.00
Y73F4A.2,25.5,2,133,507,66.50
Y75B12B.1,15,4,197,891,49.25
Y75B12B.2,500.5,2,166,516,83.00
Y75B12B.3,7.67,1,52,285,52.00
Y75B12B.5,129.25,2,364,522,182.00
Y75B12B.6,3,13,2183,2691,167.92
Y76A2B.3,12,7,1273,2064,181.86
Y76A2B.4,25.75,2,811,459,405.50
Y76A2B.5,54.5,5,1017,852,203.40
Y7A9D.1,50.5,1,277,348,277.00
Y8G1A.1,6,3,856,621,285.33
Y8G1A.2,37.71,6,4010,1158,668.33
ZC123.1,26.5,6,2072,2307,345.33
ZC123.4,12,5,1337,1137,267.40
ZC13.1,9.5,8,1129,1230,141.13
ZC13.3,11,12,2996,2199,249.67
ZC13.4,7.75,5,3401,855,680.20
ZC15.8,13,1,828,330,828.00
ZC155.1,79.63,1,55,969,55.00
ZC155.3,8,13,1641,3633,126.23
ZC155.4,7,2,468,978,234.00
ZC155.6,8,2,235,219,117.50
ZC168.3,11,6,431,1257,71.83
ZC168.4,45.2,4,219,1086,54.75
ZC168.5,21,1,45,519,45.00
ZC168.6,10.5,0,0,324,0.00
ZC204.12,19,3,147,759,49.00
ZC204.2,17.67,6,598,1293,99.67
ZC204.3,3,3,161,777,53.67
ZC204.7,33,0,0,780,0.00
ZC239.13,23,1,52,255,52.00
ZC239.6,9,4,785,858,196.25
ZC247.1,6.8,3,322,6738,107.33
ZC247.2,5.5,12,4270,2073,355.83
ZC262.2,23.5,5,532,702,106.40
ZC262.3,20.5,14,1887,2574,134.79
ZC302.2,6,4,496,1506,124.00
ZC308.1,2,8,1051,2616,131.38
ZC328.1,10.17,3,1807,597,602.33
ZC328.3,5.5,7,5559,1689,794.14
ZC328.4,6.75,6,315,1215,52.50
ZC334.2,11.5,1,431,363,431.00
ZC373.2,214.75,3,245,369,81.67
ZC373.6,19,2,257,654,128.50
ZC373.7,162.67,1,52,894,52.00
ZC376.5,7.33,5,673,1581,134.60
ZC376.7,15.2,6,1484,1467,247.33
ZC395.10,75.5,2,244,528,122.00
ZC395.5,19.17,1,402,225,402.00
ZC395.6,2.5,7,665,1302,95.00
ZC395.8,11.33,2,653,501,326.50
ZC410.2,14,8,705,1458,88.13
ZC410.5,48.14,2,2894,525,1447.00
ZC410.7,18,2,144,384,72.00
ZC412.3,14.83,3,553,753,184.33
ZC412.4,2,3,344,672,114.67
ZC412.6,165.6,0,0,105,0.00
ZC412.7,170,0,0,105,0.00
ZC412.8,2,0,0,252,0.00
ZC416.6,16,6,1027,1764,171.17
ZC434.2,718.38,3,231,585,77.00
ZC434.3,5,7,746,1425,106.57
ZC434.4,27.14,3,160,786,53.33
ZC434.5,24,5,959,3450,191.80
ZC434.6,17.43,7,2294,2166,327.71
ZC434.7,4.6,6,398,1416,66.33
ZC434.8,35,3,144,1083,48.00
ZC434.9,14.4,13,2733,1584,210.23
ZC443.2,3.5,1,248,420,248.00
ZC443.3,11.67,3,311,1224,103.67
ZC449.1,18,11,2111,1365,191.91
ZC449.5,18,7,1719,1653,245.57
ZC455.1,3.5,6,922,1854,153.67
ZC455.10,7,3,1010,726,336.67
ZC455.4,7.67,7,469,2133,67.00
ZC455.6,5,6,848,1374,141.33
ZC47.1,3.5,1,306,612,306.00
ZC47.14,4,2,1131,909,565.50
ZC47.2,4.2,2,140,882,70.00
ZC506.2,11.5,5,833,1158,166.60
ZC506.3,8,7,1100,1524,157.14
ZC518.2,11,11,1414,3093,128.55
ZC53.7,5,4,912,708,228.00
ZC581.2,3,7,1282,1053,183.14
ZC581.3,2,11,1868,2367,169.82
ZC581.4,2,3,833,630,277.67
ZC8.2,23,2,98,714,49.00
ZC8.4,12.4,16,1943,6867,121.44
ZC84.3,12,11,1935,2481,175.91
ZC97.1,34,4,749,783,187.25
ZK1010.3,12.4,3,195,972,65.00
ZK1010.4,6,5,2436,792,487.20
ZK1010.7,73.2,2,121,897,60.50
ZK1025.10,15,6,1090,981,181.67
ZK1025.2,21.67,6,1223,906,203.83
ZK1025.3,53.67,2,976,1017,488.00
ZK1025.5,15,2,301,327,150.50
ZK1025.7,13,5,986,1386,197.20
ZK1025.9,3,7,1330,1026,190.00
ZK1037.10,9,9,940,1446,104.44
ZK1037.6,10,6,407,1476,67.83
ZK1053.2,5,6,810,1611,135.00
ZK1053.4,63.5,5,843,2004,168.60
ZK1058.4,13.86,4,210,1329,52.50
ZK1058.5,4.33,3,355,657,118.33
ZK1058.6,13.5,3,424,918,141.33
ZK1058.9,35.83,6,577,915,96.17
ZK1067.7,80.67,2,628,945,314.00
ZK1073.1,11,6,3449,978,574.83
ZK1073.2,11,2,2118,570,1059.00
ZK1086.1,6,10,2139,2256,213.90
ZK1098.1,8,7,1108,2175,158.29
ZK1098.10,14,20,6023,3420,301.15
ZK1098.4,4,4,230,918,57.50
ZK1098.5,20.29,3,917,546,305.67
ZK1098.7,18.67,2,107,402,53.50
ZK1098.8,6.33,7,381,2733,54.43
ZK112.1,26.83,7,694,1605,99.14
ZK112.2,10.33,8,2291,2556,286.38
ZK112.7,19,22,3066,10032,139.36
ZK1127.1,23,4,200,780,50.00
ZK1127.10,100.13,2,453,1179,226.50
ZK1127.12,12,3,360,1023,120.00
ZK1127.3,15,3,144,579,48.00
ZK1127.4,5,2,102,1050,51.00
ZK1127.5,7,1,49,912,49.00
ZK1127.6,7.5,4,221,1275,55.25
ZK1128.1,13.29,5,288,1131,57.60
