qual,avg_expr,introns,intronsize,exonsize,avgintronsize
T08B1.4,9.8,5,1777,963,355.40
T08B2.10,682.63,1,49,378,49.00
T08B2.5,5.75,10,494,2010,49.40
T08B2.8,10.83,1,45,480,45.00
T08B2.9,30.57,8,796,1659,99.50
T08D10.2,10.5,10,2047,2412,204.70
T08E11.6,10,1,57,1065,57.00
T08G11.1,9,21,1342,9639,63.90
T08G11.4,5,6,583,1488,97.17
T08G2.3,131,4,384,1254,96.00
T08G5.10,74.4,1,59,225,59.00
T08G5.3,5.67,5,610,648,122.00
T08G5.5,11.5,9,1003,2772,111.44
T08H10.1,78.86,7,2260,1491,322.86
T08H4.1,22,9,4622,2589,513.56
T08H4.2,11,2,503,573,251.50
T08H4.3,14,7,5616,1134,802.29
T09A12.4,9.33,9,3277,2139,364.11
T09A5.10,33.5,5,311,2466,62.20
T09A5.11,58.14,3,168,1338,56.00
T09A5.12,3,12,1190,2127,99.17
T09A5.5,17,2,333,492,166.50
T09A5.6,4,3,546,522,182.00
T09A5.7,18.5,2,104,312,52.00
T09A5.8,26.75,6,383,1020,63.83
T09A5.9,5,6,290,981,48.33
T09B4.1,16.5,7,348,2019,49.71
T09B4.10,12.14,6,1404,819,234.00
T09B4.2,6.5,3,225,930,75.00
T09B4.4,14.2,3,202,390,67.33
T09B4.5,103.5,3,1676,984,558.67
T09B4.6,4,3,1130,579,376.67
T09B4.8,15.17,7,349,1521,49.86
T09B4.9,17.17,10,1341,1278,134.10
T09B9.4,13,6,605,1587,100.83
T09E8.2,10,8,397,2865,49.63
T09E8.3,22.29,1,556,411,556.00
T09F3.2,16.25,6,592,1155,98.67
T09F5.1,10,5,545,978,109.00
T09F5.9,6.67,1,48,483,48.00
T10A3.1,7.75,13,1484,2562,114.15
T10B10.1,266,1,72,1287,72.00
T10B10.2,32.86,7,2725,1362,389.29
T10B10.6,4,4,502,615,125.50
T10B11.1,27.75,2,229,537,114.50
T10B11.2,12.29,10,4038,1650,403.80
T10B11.6,4,6,1013,978,168.83
T10B5.3,24.71,2,104,747,52.00
T10B5.6,12.5,2,120,1032,60.00
T10B5.7,43.5,5,813,903,162.60
T10B5.8,3,3,1277,1356,425.67
T10B9.7,4,4,1996,1548,499.00
T10C6.13,183.5,0,0,411,0.00
T10C6.14,28,0,0,312,0.00
T10C6.5,16.29,1,49,693,49.00
T10C6.8,5,4,721,1125,180.25
T10D4.6,7,10,1448,2331,144.80
T10E10.2,55,0,0,981,0.00
T10E9.1,9,4,224,1170,56.00
T10E9.4,12.75,9,1792,2082,199.11
T10E9.7,40.29,5,1532,1206,306.40
T10E9.8,3.5,3,1766,678,588.67
T10F2.1,27.86,6,1094,2241,182.33
T10F2.2,5,2,430,906,215.00
T10F2.4,27.13,3,214,1530,71.33
T10G3.3,18.33,6,1783,984,297.17
T10G3.6,24.29,3,276,585,92.00
T10H10.1,22,26,5287,6297,203.35
T10H10.2,2,10,1513,1725,151.30
T10H9.3,6.57,5,459,1248,91.80
T10H9.5,17.6,12,1777,1797,148.08
T11B7.1,8,3,234,1161,78.00
T11B7.3,33.75,3,515,891,171.67
T11B7.5,14,2,109,468,54.50
T11F9.11,6.25,3,235,924,78.33
T11F9.3,8.5,2,103,972,51.50
T11F9.4,3,4,880,1323,220.00
T11F9.9,63,1,47,900,47.00
T11G6.1,11.86,4,541,1563,135.25
T11G6.3,8,8,1077,1428,134.63
T11G6.4,13,6,282,915,47.00
T11G6.8,10,8,1911,1977,238.88
T12A2.1,16.43,8,18081,1338,2260.13
T12A2.14,4,5,587,669,117.40
T12A2.15,4.67,9,939,1719,104.33
T12A2.2,20.71,4,332,2274,83.00
T12A2.7,8.8,5,477,765,95.40
T12A2.8,7.57,9,583,1305,64.78
T12B5.11,4,3,176,966,58.67
T12B5.4,3.67,2,290,888,145.00
T12D8.2,15.17,3,156,624,52.00
T12D8.4,5,7,1729,1185,247.00
T12D8.5,42.5,0,0,129,0.00
T12D8.6,69.5,3,219,429,73.00
T12D8.7,15,2,1073,552,536.50
T12E12.1,8,7,5798,1467,828.29
T12E12.3,6,5,283,2457,56.60
T12E12.4,5.25,8,476,2124,59.50
T12F5.1,15.67,5,321,750,64.20
T12F5.5,16.57,6,1932,1896,322.00
T12G3.1,54.43,2,361,2262,180.50
T12G3.2,50,7,1457,2787,208.14
T12G3.4,14,2,252,1344,126.00
T12G3.5,7,2,104,600,52.00
T12G3.6,20,3,368,654,122.67
T13A10.11,25.67,4,410,1260,102.50
T13A10.4,7,1,797,378,797.00
T13B5.3,26,9,1542,1323,171.33
T13B5.8,11,5,1478,708,295.60
T13C2.4,10.8,22,7124,4074,323.82
T13C5.5,10,6,1799,813,299.83
T13C5.6,14.75,9,1313,1038,145.89
T13F2.1,32,7,1251,1365,178.71
T13F2.11,338.2,0,0,384,0.00
T13F2.2,12.5,3,140,375,46.67
T13F2.7,14.5,6,847,1992,141.17
T13F2.9,29,2,164,768,82.00
T13F3.6,15.33,4,448,576,112.00
T13H2.3,19,17,2389,7344,140.53
T13H2.4,18,15,2767,6648,184.47
T13H5.2,5.67,15,1693,3765,112.87
T13H5.4,7,11,3664,2508,333.09
T13H5.5,17.4,4,291,717,72.75
T14A8.2,20.2,2,243,699,121.50
T14B1.1,6,3,232,1128,77.33
T14B4.1,5.67,10,897,3612,89.70
T14B4.2,26.5,2,102,420,51.00
T14B4.3,2,3,272,759,90.67
T14B4.4,29,7,863,744,123.29
T14D7.1,10.5,8,1190,1224,148.75
T14D7.2,22,6,857,2205,142.83
T14E8.1,7,18,2525,3291,140.28
T14F9.1,32.14,7,592,1413,84.57
T14F9.2,4,6,1293,1188,215.50
T14F9.3,12,9,1376,1668,152.89
T14F9.4,35,5,1195,1284,239.00
T14G10.1,13.4,5,277,1959,55.40
T14G10.3,10,2,202,474,101.00
T14G10.5,11.43,5,478,2613,95.60
T14G10.6,8.33,3,200,927,66.67
T14G10.7,15.33,3,191,1635,63.67
T14G11.1,9,1,50,276,50.00
T14G11.3,16,11,3502,2184,318.36
T14G12.3,34.2,4,758,606,189.50
T14G12.4,14,3,877,813,292.33
T14G12.6,2,10,1326,1050,132.60
T14G8.3,6.33,13,5481,2781,421.62
T15B12.1,4.33,5,2514,669,502.80
T15B7.1,15.2,2,573,441,286.50
T15B7.3,245.25,1,52,960,52.00
T15B7.4,72.29,1,51,978,51.00
T15B7.5,13,1,47,945,47.00
T15B7.9,12,3,357,594,119.00
T15D6.4,4,7,1403,1275,200.43
T16G1.10,6.75,2,102,453,51.00
T16G1.11,37,4,395,723,98.75
T16G1.2,10.5,7,2134,1224,304.86
T16G1.3,3,5,949,1026,189.80
T16G12.1,4,12,1503,2700,125.25
T16G12.4,38,2,111,642,55.50
T16G12.5,7,16,5161,4452,322.56
T16G12.6,9.5,14,3502,2793,250.14
T16H12.5,11.67,5,655,1230,131.00
T17A3.7,4,1,49,873,49.00
T17A3.8,5.8,9,1283,1950,142.56
T17E9.1,8,10,1703,2949,170.30
T17E9.2,80,3,187,1353,62.33
T17H7.1,12.5,2,97,2049,48.50
T17H7.7,14.33,6,1611,1446,268.50
T18D3.1,12,5,1311,1572,262.20
T18D3.3,6,7,1272,1149,181.71
T18H9.2,236.17,8,2852,2130,356.50
T18H9.5,2,4,803,1680,200.75
T18H9.6,19.57,5,1438,1167,287.60
T19A5.1,33.71,15,867,3843,57.80
T19A5.2,11,8,5658,1962,707.25
T19A5.3,14.67,7,956,2259,136.57
T19A6.1,18.5,4,2465,438,616.25
T19A6.3,4.67,12,3378,1470,281.50
T19B10.2,151.43,4,310,1107,77.50
T19B10.3,9,8,1090,2241,136.25
T19B10.5,17.17,6,780,2112,130.00
T19B10.6,8,4,259,1107,64.75
T19B10.7,11.5,4,197,1575,49.25
T19B10.8,10.5,5,279,2202,55.80
T19B4.2,12,6,781,3654,130.17
T19B4.3,50,2,572,558,286.00
T19B4.4,8,2,398,339,199.00
T19B4.6,27.5,1,343,507,343.00
T19B4.7,9.33,10,1618,3522,161.80
T19C3.1,3,13,3426,1842,263.54
T19C3.2,14,7,1905,810,272.14
T19C3.3,35,0,0,183,0.00
T19C3.4,11.5,4,751,690,187.75
T19C4.1,16.4,3,269,1275,89.67
T19C4.5,3.33,5,699,1095,139.80
T19C9.8,7,3,1033,1209,344.33
T19D12.1,16.83,13,876,5334,67.38
T19D12.6,7.5,12,3629,2274,302.42
T19D2.2,14.5,2,103,573,51.50
T19D7.2,17,3,226,432,75.33
T19D7.3,10,2,218,357,109.00
T19D7.6,52.5,4,510,543,127.50
T19E7.3,32.67,5,1453,981,290.60
T19H12.1,8,5,261,1602,52.20
T19H12.10,2,5,729,1602,145.80
T19H12.2,66.67,2,107,678,53.50
T19H12.7,4,3,528,1011,176.00
T19H12.9,8.2,4,778,1605,194.50
T19H5.4,38,2,261,942,130.50
T20B12.1,7.33,7,1966,2364,280.86
T20B12.2,6.75,3,727,1023,242.33
T20B12.3,10.29,4,196,1515,49.00
T20B12.6,15,8,1443,2532,180.38
T20B12.7,58.63,2,255,717,127.50
T20B12.8,23.6,3,227,2094,75.67
T20B3.1,8.33,13,3195,1827,245.77
T20B3.2,9,3,547,783,182.33
