Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression
ENSG00000117148,81569,2.551724138,12.63888889
ENSG00000117154,84966,83.65517241,25.58333333
ENSG00000179023,127707,436.9310345,848.1944444
ENSG00000009709,5081,2.413793103,27.33333333
ENSG00000053372,51154,1048.137931,1785.527778
ENSG00000040487,54896,344.5862069,446.25
ENSG00000173436,440574,316.7241379,326.6666667
ENSG00000158747,4681,1103.310345,536.4444444
ENSG00000158748,3362,1.827586207,1.138888889
ENSG00000169914,23252,448.8275862,739
ENSG00000127472,5322,118.8965517,14.94444444
ENSG00000158786,64600,927.7586207,2599.111111
ENSG00000162543,127733,262.4137931,371.8333333
ENSG00000158816,127731,113.5172414,181.7222222
ENSG00000183114,163933,25.37931034,28.13888889
ENSG00000158825,978,83.10344828,66.91666667
ENSG00000158828,65018,2093.896552,1905.527778
ENSG00000142794,84224,356.862069,383.2777778
ENSG00000162551,249,664.9310345,189.6111111
ENSG00000187942,401944,51.75862069,22.13888889
ENSG00000219073,23436,0.137931034,0.138888889
ENSG00000142789,10136,0,0
ENSG00000070831,998,10140.34483,11332.11111
ENSG00000184677,9923,1143.172414,1236.666667
ENSG00000070886,2046,0.655172414,6.277777778
ENSG00000173372,712,3985.62069,1807.666667
ENSG00000159189,714,4012.103448,1967.222222
ENSG00000173369,713,4129.241379,2204.194444
ENSG00000133216,2048,375.1034483,455.4166667
ENSG00000004487,23028,2314.413793,4594.972222
ENSG00000197880,259283,13.72413793,7.777777778
ENSG00000142676,6135,28557.65517,30849.83333
ENSG00000011007,6924,1601.965517,2173.5
ENSG00000057757,57095,1031.448276,1392.305556
ENSG00000011009,11313,1683.344828,2437.027778
ENSG00000189266,55629,3863.62069,4342.222222
ENSG00000158055,57822,1299.862069,2713.5
ENSG00000001461,57185,1120.724138,1157.305556
ENSG00000117602,11123,377.0344828,540.8055556
ENSG00000184454,400746,93.27586207,58.41666667
ENSG00000133226,10250,4454.655172,4940.861111
ENSG00000169504,25932,7659.931034,3077.611111
ENSG00000187010,6007,0.931034483,1.194444444
ENSG00000183726,23585,2956.62069,3522.861111
ENSG00000204178,55219,1047.758621,1241.722222
ENSG00000157978,26119,828.862069,774.0277778
ENSG00000117643,57134,1229.862069,1156.611111
ENSG00000162430,57190,2965.37931,2899.055556
ENSG00000117640,56181,1269.241379,1077.861111
ENSG00000158008,2134,18.13793103,6.722222222
ENSG00000175087,149420,415.5862069,633.0833333
ENSG00000197245,79927,259.2413793,45.72222222
ENSG00000142684,51042,481.6551724,787.4444444
ENSG00000142675,10256,785.7586207,1516.777778
ENSG00000188782,378807,1.689655172,3.861111111
ENSG00000130695,64793,323.4482759,689.4166667
ENSG00000142669,83442,4653.344828,5504.555556
ENSG00000169442,1043,1348.068966,406.3055556
ENSG00000131914,79727,0.034482759,0.111111111
ENSG00000117682,79947,860.6206897,988.1944444
ENSG00000198830,3151,5182.827586,6810.638889
ENSG00000117676,6195,1234.275862,1465.472222
ENSG00000117713,8289,3268.275862,4021.111111
ENSG00000060642,55650,387.0689655,457.0277778
ENSG00000204160,84243,1246.448276,1216.888889
ENSG00000175793,2810,3508.413793,10783.61111
ENSG00000090273,10726,2486.586207,3264.361111
ENSG00000253368,388610,1080.37931,1032.888889
ENSG00000142784,23038,1956.689655,1625
ENSG00000186501,84065,860.4482759,978.9722222
ENSG00000142765,84958,3352.172414,4304.583333
ENSG00000181773,2827,44.5862069,29.30555556
ENSG00000009780,199870,569.2068966,551.3333333
ENSG00000117758,23673,2352.862069,1697.527778
ENSG00000117751,5511,1064.931034,1314.055556
ENSG00000130775,9473,1468.448276,583.8888889
ENSG00000130768,27293,103.7931034,272.0277778
ENSG00000158156,55113,221.2758621,222.1944444
ENSG00000130770,93974,1980.137931,3106.416667
ENSG00000130766,83667,515.5172414,657.9444444
ENSG00000130772,54797,307.2758621,406.0277778
ENSG00000204138,65979,1619.344828,1753.972222
ENSG00000180198,1104,953.9655172,1808
ENSG00000180098,54952,728.0689655,852.9444444
ENSG00000188060,115273,68.4137931,89.02777778
ENSG00000162419,10691,663.5172414,686.75
ENSG00000198492,51441,2427.172414,3246.527778
ENSG00000116329,4985,0.172413793,1.277777778
ENSG00000159023,2035,2040.689655,2552.777778
ENSG00000060656,10076,2010.551724,2422.916667
ENSG00000121766,51538,860.862069,1030.777778
ENSG00000168528,347735,4827.034483,9665.472222
ENSG00000142910,64129,6213.586207,13344.33333
ENSG00000121764,3061,3.034482759,5
ENSG00000121774,10657,4839.551724,5554
ENSG00000121775,55116,449.5172414,473.7777778
ENSG00000025800,23633,2293,2221.25
ENSG00000084652,200081,2145.551724,2117.388889
ENSG00000160050,79140,137.4827586,201.4166667
ENSG00000160051,55721,77.75862069,171.1944444
ENSG00000222046,149069,2.344827586,2.472222222
ENSG00000084623,8668,3374.551724,4294.555556
ENSG00000183615,84734,179.1724138,127.2222222
ENSG00000182866,3932,753.9310345,277.6666667
ENSG00000116478,3065,4477.862069,4717.333333
ENSG00000162526,81629,16.89655172,19.86111111
ENSG00000160062,653121,22.31034483,19.33333333
ENSG00000162521,5928,4312.068966,4879.666667
ENSG00000162522,57648,5978.448276,6448.722222
ENSG00000116497,64766,1137.310345,911.8611111
ENSG00000121905,3208,19.06896552,20.25
ENSG00000142920,113451,131.7241379,150.3333333
ENSG00000160094,149076,676.1034483,516.8055556
ENSG00000121903,7579,93.72413793,105.6666667
ENSG00000176256,127540,0.034482759,0
ENSG00000142698,84970,0.586206897,0.194444444
ENSG00000189280,2709,238.137931,461.9444444
ENSG00000189433,127534,267.5517241,619.6111111
ENSG00000188910,2707,483.8275862,720.9444444
ENSG00000187513,2701,472.5862069,164.9444444
