ID Ref,Amoeboid,Early Culminant,Fruiting Body,Loose Aggregate,Mound,Slug,Streaming,Starvation,^10 Amoeboid,^10 Early Culminant,^10 Fruiting Body,^10 Loose Aggregate,^10 Mound,^10 Slug,^10 Streaming,^10 Starvation,Mean Value
42,5.1065273,6.0452814,4.3878517,4.0854964,4.3281584,6.620057,4.1566377,7.9480653,12057480.84,65187633.49,2645570.927,1295532.528,2306914.321,161665477.1,1539648.994,1006037723,156591997.6
43,4.600991,5.1148276,4.324108,4.573695,4.2532215,6.7738924,4.3834558,4.193694,4251222.518,12254906.44,2285416.322,4005640.783,1937224.735,203414982.7,2619185.861,1682547.689,29056390.88
44,7.944863,7.149089,5.4844522,6.8480854,4.4171214,7.1968822,7.048288,8.011668,1001991707,348744234.8,24622523.31,226825395.3,2827439.726,372772564.4,302577349.8,1089505533,421233343.4
45,6.579522,5.064272,4.6537046,6.8579793,5.0340896,5.8586497,4.999267,5.0713,152034949.5,11096096.73,4764179.589,230123886,10452240.92,47640390.73,9751318.035,11251049.26,59639263.84
46,7.256858,6.6490765,4.415259,5.864905,4.353421,7.01054,5.1015267,5.979217,405029121.7,168893640.5,2815540.927,48151499.69,2445156.6,286757454.1,11939926.13,58404075.38,123054551.9
47,6.094178,5.0764985,4.359311,5.7924137,4.248338,5.4066677,4.25991,4.299793,70656374.67,11366915.25,2478440.708,42520241.3,1915096.319,21345030.59,1967905.492,2160108.09,19301264.05
48,9.572021,8.742701,9.176153,9.751362,7.19511,9.200943,9.089045,7.3262,6457083869,2608892942,4232592541,7774147756,371855645.1,4348339078,3847534620,445438451.9,3760735613
49,11.438023,10.542271,10.930751,10.926976,8.058325,10.595653,11.240083,11.144575,38327426111,16956716534,24350058721,24266094913,1154643165,17835170698,32188088149,29555282339,23079185079
50,10.318061,9.907525,9.544743,9.444305,11.082675,9.130234,10.632876,9.52938,13676687090,9112798530,6275414134,5645469169,27954129783,4025493064,18471726597,6175134980,11417106668
51,9.548259,7.6154213,7.1457453,6.35121,4.709015,6.4687247,5.822896,7.6734147,6298569254,656053631.1,347116552.1,106798395.3,5361678.122,128288192.3,44811588.01,707761113.2,1036845051
52,4.5234065,4.381308,4.2976046,6.31621,4.2453585,4.1102133,4.205111,4.2917123,3586378.957,2606380.667,2149139.263,101056815.6,1901707.424,1376079.745,1728918.977,2119854.28,14565659.36
53,8.914293,8.4146805,8.120605,8.314943,5.691751,8.449498,7.8930874,6.679498,3168611880,1779820921,1247049986,1579766006,35682799.95,1854851198,938575292.9,176782080.8,1347642521
54,4.535547,4.4600925,4.655294,7.402458,4.3220882,4.129099,4.8441014,4.6058125,3683805.714,3114860.909,4780475.929,494037049.9,2274763.505,1440631.668,7114301.315,4295982.871,65092733.98
55,9.603219,9.821144,8.649714,8.740734,9.859351,8.036134,8.938832,5.583931,6670652697,8348737153,2344323165,2603029194,8679271638,1123237770,3256924945,29471377.22,4131955992
56,8.998823,8.587659,8.296848,9.500333,5.9525275,8.224493,8.973155,9.068996,3482227144,2181463299,1545721821,5989468454,55848833.27,1416091621,3384166305,3763501587,2727311133
57,6.447437,4.4480505,4.2877216,4.668067,4.2628455,4.1755176,4.1759963,4.2071004,124128375.6,3031775.875,2100224.838,4913272.003,1981508.439,1611028.361,1612876.269,1737115.771,17639522.14
58,5.957376,6.011826,4.4523215,6.3956,4.3941126,4.7727437,4.681368,5.5181885,56305408.64,61668590.65,3061012.971,114501964.6,2683563.128,6133115.316,5055077.537,26179739.33,34448559.03
59,4.5929766,4.492954,4.2866874,4.8754807,4.2465687,4.2339807,4.346809,4.2742043,4177748.848,3352121.272,2095164.583,7588822.866,1907135.472,1851350.894,2408272.219,2034945.437,3176945.199
60,6.9837503,5.6954327,4.3927298,4.338057,4.247047,4.833133,4.5896006,4.3122044,275985986.1,35914286.59,2675130.07,2360220.3,1909284.608,6954845.134,4147142.291,2223276.02,41521271.39
61,5.801799,4.674339,4.5739617,5.5245366,4.2481384,4.7546515,7.9390993,4.283462,43214230.93,4979687.14,4007977.153,26482473.79,1914196.738,5904551.312,994746317.5,2079453.364,135416111
62,13.750402,13.673818,12.86729,13.081593,8.009148,11.827215,13.532788,13.400456,2.41632E+11,2.28506E+11,1.24414E+11,1.4676E+11,1086083436,53558069770,2.06003E+11,1.86722E+11,1.48585E+11
63,4.667071,4.6373773,4.9517517,6.22731,5.7859006,4.372755,4.4585876,4.4767413,4902798.882,4599645.042,8863160.085,87701063.03,42044547.55,2555944.684,3104366.86,3233106.293,19625579.05
64,9.841927,9.217452,9.759078,9.312348,8.577699,8.44573,9.021343,8.100606,8527100752,4426993119,7835882073,4904468740,2156294243,1846596186,3570359555,1216676426,4310546387
65,7.376561,5.4035296,6.6557817,7.049946,7.355041,6.828433,6.7158165,6.851704,477023068.1,21221464.35,170604582.7,303289869.8,463287924,220399459.5,186632903.1,228026818.4,258810761.2
66,8.7654505,9.791634,10.444228,8.698994,7.6572413,9.405758,9.204601,9.030849,2677579754,8101244074,15444129696,2481363062,692984196.8,5419235275,4365657642,3608160164,5348794233
67,7.38611,9.512202,9.786417,14.012336,11.847262,13.027525,10.594672,7.6768866,483234254.8,6064718443,8058183844,2.91814E+11,54472828808,1.40805E+11,17818664859,710969964.9,65028435069
68,8.732555,8.085862,8.834992,7.7124386,8.408415,9.000292,9.403349,11.14182,2578774079,1194712067,2897754613,744589993.8,1766612841,3487915834,5405371532,29482301285,5944754031
69,15.375571,17.026606,16.753963,15.301712,14.883196,15.400925,15.846528,16.075352,7.38435E+11,2.04777E+12,1.74251E+12,7.03721E+11,5.33288E+11,7.50703E+11,9.98484E+11,1.1524E+12,1.08341E+12
70,5.883226,4.6935935,4.390233,5.709798,4.3554983,5.111175,6.134363,4.4123073,49676995.13,5188654.317,2659963.632,36830485.3,2456849.116,12167672.42,75456162.99,2796774.926,23404194.73
71,4.90612,4.686502,5.36995,5.406178,4.3515763,4.6343565,4.784395,4.8995,8079447.535,5110790.361,19938956.22,21325705.56,2434815.332,4569770.507,6284493.458,7971088.299,9464383.409
72,6.1869054,4.7028985,5.744027,6.3713593,4.418083,4.664706,5.0020847,5.397167,82174062.02,5292441.389,39098916.87,110235371.3,2833601.048,4878010.928,9806418.276,20972903.7,34411465.7
73,14.513126,15.021354,15.778082,15.153492,15.153492,14.629423,15.269543,13.666445,4.14581E+11,5.84912E+11,9.56185E+11,6.38451E+11,6.38451E+11,4.49027E+11,6.89065E+11,2.27277E+11,5.74744E+11
74,6.1811357,6.3587604,4.4055915,6.4890456,4.41732,4.9504757,6.1475058,6.842279,81410942.29,108074842,2754496.695,132375697.2,2828711.24,8840347.376,77088478.06,224909494.5,79785376.18
75,5.120472,4.7546515,4.336711,4.638671,4.279429,4.721993,4.2020383,4.558444,12390817.39,5904551.312,2352907.292,4612492.9,2059957.47,5511291.592,1716327.121,3874059.076,4802800.519
76,6.172612,6.0012555,7.662903,7.6975474,6.932088,6.7559133,7.4194946,8.010448,80295237.69,60592820.68,698125145.9,730337698.9,256236310.7,198080021.9,505525690.2,1087847593,452130064.9
77,11.208223,11.890325,10.743941,11.556979,10.447501,10.342361,11.105493,10.7475395,31287267212,56485535995,20494444322,42505315222,15492596639,14002220984,28535036149,20563190522,28670700881
78,8.054997,6.5969934,4.430152,5.423213,4.419686,4.763484,5.4744086,5.0686107,1149883468,156120702.2,2911965.818,22007292.69,2843898.922,6015158.951,24175312.26,11191527.36,171893665.8
79,5.3734946,4.8799706,4.4189515,6.9113555,4.4602723,5.0736184,6.5137515,5.721744,20070961.03,7658999.752,2839176.228,248675112.9,3116116.833,11302590.6,137502901.3,37608345.57,58596775.53
80,5.4213815,4.838989,4.362699,4.3348365,4.298883,4.7839894,4.2036686,4.2600536,21933083.63,7039573.516,2497770.334,2342756.845,2155540.83,6279167.772,1722997.737,1968568.966,5742432.453
81,9.94237,9.808494,11.290147,10.637379,11.4288225,9.6930485,10.831264,10.867676,9438418094,8241823457,33650844338,18550103209,38020242084,7321563911,22222423206,22980888858,20053288395
82,10.028433,9.835108,11.206755,10.540895,11.282924,9.571253,10.818075,10.7451725,10287995681,8468204416,31246312774,16934597256,33436177966,6451904973,21953303431,20517947737,18662055529
83,10.985748,9.896208,11.229661,10.387413,11.269017,9.3494625,10.728276,10.704134,25603322463,9009239823,31890876827,14624263166,33026331858,5103480272,20197581918,19747647750,19900343010
84,5.767974,4.731863,4.2342267,4.2402287,4.279764,4.5132732,4.130757,4.2304254,40759884.12,5627579.275,1852426.835,1878853.042,2061570.603,3506842.27,1446426.85,1835863.597,7371180.825
85,6.3924646,4.835965,5.1047797,5.473036,4.4010415,7.408313,7.4483995,4.680108,113941863.2,6995705.043,12016280.17,24114765.78,2726180.694,497958590.9,525568856.9,5041488.158,148545466.4
86,7.1831145,7.500475,8.618378,7.2930555,4.8865175,8.528542,8.553062,6.9020333,365702468.7,563491901,2260764798,425691702.9,7762374.37,2035860074,2095155213,245341210,999971217.8
87,5.7293057,5.253433,5.703581,4.2573037,4.341254,4.8402486,5.3695555,4.2617726,38108333.42,16011498.47,36431423.09,1955898.538,2377672.117,7057919.167,19924313.03,1976526.897,15480448.09
88,13.034806,12.511761,12.119621,13.295307,12.296676,12.817369,13.334859,13.153528,1.41594E+11,94012239631,68373905842,1.72577E+11,79045527393,1.19671E+11,1.77781E+11,1.55032E+11,1.26011E+11
89,6.7434106,7.7319293,7.823374,4.819476,4.7308974,5.917153,7.047135,5.0732493,194444669.8,763622545.7,858896679.8,6760802.031,5616105.986,52617231.05,302082740.4,11294370.79,274416893.2
90,13.801538,12.699041,12.65043,13.689453,11.648545,13.257956,13.986738,11.4365835,2.5077E+11,1.09071E+11,1.04967E+11,2.31132E+11,45995656041,1.6779E+11,2.86526E+11,38279217523,1.54316E+11
91,5.6555085,4.597163,4.508872,4.2612453,4.317443,4.406645,6.282057,4.7060714,33474692.36,4215984.704,3472794.342,1974082.744,2250433.199,2761090.558,95723534.54,5328256.453,18650108.61
92,5.630368,4.5211225,4.7135687,4.6121926,4.707562,5.238733,4.6765447,5.578426,32016054.61,3568311.373,5413752.694,4355864.35,5345157.236,15569069.07,5003234.958,29182114.94,12556694.9
93,10.213589,10.66666,10.035801,9.733416,10.590501,9.298801,10.00787,10.792082,12353322415,19067094616,10363833113,7632254654,17748638980,4833586962,10078979302,21431489963,12938650001
94,7.317763,7.039631,7.556416,7.56203,8.338497,8.254107,8.069871,7.6528234,440335195,298881442.8,606957929.1,611482397.3,1625091312,1467915122,1171294015,688996339.7,863869219.1
95,5.6723475,4.5827417,6.28582,4.6078134,6.173126,5.819441,7.088033,6.8147135,34484845.76,4085580.718,96298473.88,4314682.407,80362125.46,44546408.45,320079093.5,216011076.9,100022785.9
96,7.1502185,7.2019005,6.7283683,7.262454,8.6107,6.651826,8.530945,7.334182,349295615.3,375380034.2,190150538.7,408163293.9,2240704494,169593343.9,2041603587,450315430.9,778150792.3
97,14.328464,14.420681,13.556642,13.613777,12.184291,12.461594,14.228466,14.202469,3.64751E+11,3.88918E+11,2.09663E+11,2.18669E+11,72111184274,90310028204,3.4008E+11,3.33917E+11,2.52302E+11
98,6.420959,7.1074724,4.6025214,4.699573,4.449948,4.9567904,7.6395483,4.5256376,119123917.8,328966609.6,4265384.288,5255136.49,3044734.025,8953762.071,677137413.2,3604107.528,143793883.1
99,8.42477,9.082034,7.798066,7.3721952,5.332287,6.7468257,7.31717,7.9795637,1801277120,3817958770,831513042.8,474207325.8,18583827.44,195431653.2,439978496.4,1046625858,1078197012
100,5.3857107,4.3540535,4.3596406,4.448317,4.2892694,4.179031,5.454379,4.280694,20531950.59,2448711.444,2480315.252,3033592.819,2107818.647,1624635.458,23305215.23,2066054.814,7199786.781
101,5.394469,4.3565264,5.277544,4.4788756,4.7846146,4.1605883,5.241827,5.0127172,20868297.39,2462654.585,16761721.79,3248553.336,6287378.587,1554345.05,15661264.88,10016870.04,9607635.708
102,12.264994,11.188916,10.982188,10.72711,11.877692,10.684353,11.351887,9.176153,77032395040,30752479258,25520474189,20175640960,55888260699,19385735472,35536986211,4232592541,33565570546
103,5.254939,4.3142056,5.207573,4.311386,4.8638372,4.4142437,5.456176,4.6484447,16057457.84,2233615.333,14667417.91,2219060.135,7409523.847,2809073.215,23382110.53,4710604.988,9186107.975
104,5.2009587,5.131235,4.513712,4.680108,5.46756,4.124873,5.0370502,4.8988175,14482183.67,12653744.15,3510253.266,5041488.158,23874570.97,1425954.988,10513874.56,7959991.537,9932757.663
105,12.045996,12.195789,12.251463,11.336094,14.015627,12.063451,11.341938,11.657921,64332013769,72794575879,76186764042,35045671409,2.925E+11,65270305449,35226759073,46367222336,85965366842
106,7.1613026,6.604913,4.9750504,4.6464767,4.2803,4.6252193,6.1464624,5.387122,354748241.9,158005067.1,9289125.865,4690699.774,2064153.981,4480467.092,76957737.7,20585817.08,78852663.8
107,7.8059235,10.098533,7.9468613,7.362253,6.898321,6.7093034,5.3512497,6.444312,839929641,11030187374,1004514781,467850800.3,244024816.9,184830787.8,19255383.16,123528049.9,1739265204
108,8.162442,6.677276,7.629065,5.1212764,4.3965526,6.129682,6.08624,6.3575277,1312807603,176194877.6,667902626.3,12410296.5,2698501.935,74882346.45,69741412.63,107865512.4,303062897.1
109,4.989249,4.263599,5.1956277,4.4849343,4.2751017,4.080509,4.491798,4.421166,9557664.675,1985013.738,14334423.64,3292765.89,2039221.99,1279803.816,3343506.519,2853436.519,4835729.598
110,4.9451995,10.886295,8.721492,5.4163284,4.7198405,4.9262176,4.7046094,5.777314,8746577.863,23377657295,2546290018,21729507.54,5486220.081,8416585.025,5311726.679,41424733.5,3251882833
111,12.743756,10.538836,9.4516735,9.743423,8.181649,7.611971,11.198394,10.596668,1.12973E+11,16901547214,5689670403,7711086480,1344028381,653087318,31013975165,17852263088,24267326220
112,10.002169,11.470555,10.615631,9.984981,10.582931,9.236421,11.140559,11.951263,10021711183,39431592446,18174318729,9850821012,17622180514,4518946505,29448951030,59448107832,23564578656
113,4.844914,4.253509,4.3517694,4.134159,4.2694254,4.018837,4.3723702,4.237693,7126244.598,1938534.617,2435895.991,1458383.547,2012307.264,1099015.759,2553696.357,1867647.497,2561465.704
114,11.455982,9.548259,9.352555,8.864494,9.522792,8.867847,9.406621,10.47278,38933480159,6298569254,5120386083,2995984098,6132576639,3007335734,5424209602,15871566926,10473013562
115,7.8407574,10.574283,10.274905,14.173426,12.434214,13.156255,13.747018,13.699146,878173173.4,17478706615,13115297658,3.27151E+11,88345284887,1.55354E+11,2.41038E+11,2.32774E+11,1.34517E+11
116,17.80677,18.578638,18.65953,18.455881,17.194773,17.798117,18.47437,16.486446,3.20517E+12,4.89935E+12,5.1169E+12,4.58509E+12,2.25925E+12,3.18963E+12,4.63123E+12,1.48344E+12,3.67126E+12
117,10.261095,9.621759,6.4483967,9.186777,9.993399,8.095247,8.7359915,8.397729,12940083669,6800561110,124313264.3,4281852910,9934185735,1208651356,2588940253,1744289457,4952859719
118,4.7167277,5.033736,4.778471,4.805159,5.1692696,8.453255,4.715833,5.5195866,5450144.896,10444901.47,6207111.498,6562625.595,13623598.34,1863115164,5439815.522,26246144.55,242136188.2
119,4.698603,5.3087716,4.3354816,5.2033987,4.2605467,10.573197,4.2220845,5.637027,5244299.866,17780354.29,2346245.615,14550269.63,1970848.766,17460763928,1799986.341,32396728.02,2192106583
120,9.186777,9.059488,7.849371,8.494652,7.0907536,10.656196,8.956526,9.006861,4281852910,3724230399,887868329.1,1956392181,321309777.4,18880869870,3321971556,3513456692,4610993964
121,8.6045685,9.210701,8.39036,9.585005,10.594672,10.22152,9.620838,9.295668,2224799934,4394675814,1729043630,6545207775,17818664859,12449583644,6794054380,4817326061,7096669512
122,6.0279174,7.1359496,5.2321706,5.686178,6.722983,8.464009,5.3516517,5.7883773,63339251.35,342387373.4,15375135.84,35334952.12,188634068.1,1886953356,19269853.2,42224869.6,324189857.4
123,4.6243806,4.3768144,4.658095,4.4946012,4.300555,7.9823895,4.274382,4.197145,4472349.2,2579771.89,4809317.128,3364431.063,2163939.241,1050338182,2035791.623,1696444.795,133932528.4
124,6.4361925,7.22285,5.00032,7.2320604,5.488812,7.8707824,8.1721325,8.478331,121980455.1,386443456.3,9771876.8,391399661.6,24818958.8,912386935.9,1328476863,1919126831,636800629.8
125,7.0356355,6.197684,7.299422,6.8585057,5.873676,7.65173,6.5208597,5.112191,297189400.4,83616944.15,429422426.4,230300583.9,48876473.75,688012566.2,139010806.2,12191880.98,241077635.3
126,4.5788703,4.3030243,4.3430815,4.7213845,4.2497087,5.5418015,4.251833,4.188075,4051197.535,2176396.337,2387700.178,5504193.579,1921284.238,27321822.07,1930909.784,1660139.199,5869205.365
127,6.742406,5.6708517,4.5835094,5.2916107,5.1553316,5.6786766,4.7619944,4.3023057,194155189.9,34394016.94,4092430.036,17213883.51,13260687.82,34871558.99,5996375.257,2172764.511,38269613.37
128,4.5577745,4.3220882,4.3081193,7.4628706,4.2581544,4.0477085,4.2715764,4.4690113,3868372.993,2274763.505,2202303.72,535869592.2,1959810.357,1180571.481,2022468.584,3177711.955,69069449.35
129,10.598786,9.933287,9.6623745,8.603851,8.749458,8.611929,8.507861,6.984228,17887977258,9352545639,7093142114,2222945460,2629126651,2243904693,1987027413,276174823.2,5461605506
130,4.540244,5.223507,4.4909973,4.458801,4.4281425,4.8140345,4.2278094,4.3236604,3722133.38,15122437.92,3337551.222,3105853.013,2898784.181,6684854.876,1824542.568,2283051.728,4872401.111
131,4.5325294,4.348791,4.2980294,4.1004715,4.2445917,4.2838874,4.156461,4.1848526,3659369.787,2419275.696,2151264.541,1343810.336,1898275.336,2081519.438,1538994.61,1647409.847,2092489.949
132,6.2305627,5.6702976,4.3694615,4.6715007,4.243066,4.2288513,4.199719,4.1857457,88160228.7,34360425.25,2536758.771,4949532.526,1891463.094,1829043.954,1706877.41,1650929.005,17135657.34
133,7.290207,6.8323174,6.198173,7.1809916,5.344642,6.32519,6.750373,5.4357414,424031968.1,221656430.9,83682941.72,364623106.7,19018935.34,102502806.5,196461614.9,22521010.56,179312351.8
134,4.5271716,4.382735,4.288253,5.6497035,4.2413826,4.1163898,4.3436074,4.6630235,3616342.581,2614882.15,2102829.21,33132679.82,1883972.26,1396898.767,2390593,4860445.094,6499830.36
135,7.5121045,7.4611874,6.7810225,6.4985914,5.120472,6.0606074,5.4861054,7.1338496,572290065.8,534662200.5,205566269.2,134335969.8,12390817.39,66859252.63,24696844.71,341381113.4,236522816.7
136,4.541664,4.4093394,4.3766484,4.130757,4.24106,4.1370425,4.166732,4.244218,3733791.067,2778019.504,2578793.624,1446426.85,1882539.799,1468587.49,1577450.281,1896604.729,2170276.668
137,7.7477617,6.58939,6.642566,7.754561,4.6619463,5.160838,8.861611,5.601956,779403847.6,154330628.5,167247171.7,786270834.2,4849228.698,13403007.69,2986254505,30436655.85,615274485
138,4.5627556,5.577976,4.787427,5.2030163,4.4039917,4.1665387,4.588961,4.199719,3910858.185,29158582.88,6324433.754,14539580.11,2744510.635,1576718.634,4141366.517,1706877.41,8012866.015
139,4.573695,5.4339976,4.845475,6.6350136,7.176195,5.976895,5.9337935,4.3312845,4005640.783,22448866.78,7134500.486,165355320.7,362194885.6,58177661.93,54115825.17,2323630.736,84469541.52
