MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:2179733;MGI:2179733,6.85,14.37,0.48
MGI:1346006;MGI:1346006;MGI:1346006,43.78,18.45,2.58
MGI:1916428,36.08,7.01,4.28
MGI:1917128,10.28,10.63,0.88
MGI:1917826;MGI:1917826,25.13,5.33,3.75
MGI:1891750;MGI:1891750;MGI:1891750,7.77,6.25,1.02
MGI:97757,34.54,6.13,4.58
MGI:2446242;MGI:2446242;MGI:2446242,47.3,6.83,5.74
MGI:1916095,19.04,12.84,1.43
MGI:95773,40.29,9.26,3.84
MGI:2137215,24.97,7.58,2.8
MGI:107470,39.79,10.85,3.5
MGI:2442264,NA,NA,NA
MGI:1888981,34.07,14.66,2.33
MGI:3629975,NA,NA,NA
MGI:1858751;MGI:1098604,27.68,8.22,2.89
MGI:107912;MGI:107912;MGI:107912,105.04,13.97,7.42
MGI:1929095;MGI:1929095,41.65,11.53,3.37
MGI:2141291,NA,NA,NA
MGI:1344370;MGI:1344370,45.85,13.5,3.33
MGI:1333795;MGI:1333795,27.53,11.15,2.28
MGI:2384959,NA,4.76,NA
MGI:1920274,35.51,10.59,3.06
MGI:1920150;MGI:1920150,25.61,15.54,1.68
MGI:109207;MGI:109207,114.76,18.77,6.72
MGI:1915148,15.66,8.8,1.55
MGI:2140945;MGI:2140945,NA,13.4,NA
MGI:95405;MGI:95405,23.75,24.95,1.33
MGI:1346865;MGI:1346865;MGI:1346865;MGI:1346865,20.41,6.56,2.56
MGI:1338041;MGI:1338041,26.93,9.15,2.59
MGI:1915088,16.33,20.3,0.91
MGI:1913745,31.35,9.67,2.89
MGI:1913358;MGI:1913358,43.29,17.47,2.64
MGI:1891207;MGI:1891207;MGI:1891207;MGI:1891207,7.73,7.06,0.92
MGI:2443114;MGI:2443114,NA,4.36,NA
MGI:97178;MGI:97178;MGI:97178,25.15,15.88,1.63
MGI:1913635,8.29,13.57,0.6
MGI:1858257;MGI:1858257,1.88,7.64,0.21
MGI:1913883,NA,NA,NA
MGI:1341265;MGI:1341265;MGI:1341265;MGI:1341265;MGI:1341265,17.7,8.79,1.76
MGI:1339795,25.64,9.3,2.45
MGI:1096360,NA,16.51,NA
MGI:1913623,NA,15.17,1.51
MGI:2158400,14.71,10.99,1.23
MGI:2141989;MGI:2141989,36.63,6.89,4.42
MGI:107810;MGI:107810,12.03,8.14,1.27
MGI:88467;MGI:88467,589.1,33.14,25.52
MGI:106354;MGI:106354;MGI:106354;MGI:106354;MGI:106354,25.44,10.5,2.2
MGI:2137211;MGI:2137211,31.81,7.7,3.5
MGI:1914818,87.71,9.94,7.91
MGI:1915070;MGI:1915070,16.4,11.27,1.35
MGI:107565;MGI:1914777;MGI:107565,NA,NA,NA
MGI:1201778,19.9,14.2,1.39
MGI:99513,15.82,9.44,1.52
MGI:95698;MGI:95698,14.85,11.12,1.23
MGI:1861622,11.86,18.57,0.7
MGI:2655711,19.06,14.23,1.34
MGI:107301,12.65,9.45,1.19
MGI:2137336;MGI:2137336;MGI:2137336;MGI:2137336,NA,6,NA
MGI:97828,19.51,17.02,1.21
MGI:107788,73.68,12.02,5.79
MGI:2385112,58.9,15.52,3.88
MGI:1914715,25.02,10.52,2.17
MGI:700006;MGI:700006;MGI:700006,26.35,13.66,1.89
MGI:1097161;MGI:1097161,42.04,11.21,3.49
MGI:2144831,NA,NA,NA
MGI:1932395;MGI:1932395,44.46,16.25,2.93
MGI:109622,44.73,13.18,3.29
MGI:1922471,35.2,13.65,2.53
MGI:1913419,21.85,13.84,1.57
MGI:1913895;MGI:1913895,7.98,11.37,0.65
MGI:1202875,NA,NA,NA
MGI:1915896;MGI:1915896;MGI:1915896;MGI:1915896,11.27,11.26,0.93
MGI:1931144;MGI:1931144,56.6,20.96,3.09
MGI:109582;MGI:109582,56.19,8.8,5.57
MGI:1351626,21.03,13.19,1.63
MGI:1915107,13.17,5.85,1.82
MGI:1913275,30.38,6.66,3.76
MGI:107380;MGI:107380,30.93,6.31,4.07
MGI:1351861,11.01,9.21,1.05
MGI:104606;MGI:104606,45.48,9.52,4.25
MGI:98810;MGI:98810,NA,NA,NA
MGI:103079,8.16,3.9,1.61
MGI:1913866,73.3,8.41,7.53
MGI:1916966,18.21,8.13,1.92
MGI:95804;MGI:95804,20.07,9.55,1.87
MGI:1914603,34.72,11.41,2.83
MGI:2443258;MGI:2443258;MGI:2443258,18.38,5.52,2.68
MGI:1345283,15.03,18.74,0.98
MGI:2385884;MGI:2385884,47.96,10.06,4.29
MGI:2147437,16.78,11.36,1.37
MGI:107438;MGI:107438,20.47,8.11,2.16
MGI:1914670;MGI:1914670;MGI:1914670;MGI:1914670,26.47,9.55,2.48
MGI:1924143,91.57,11.83,7.27
MGI:1913480,14.42,11.14,1.2
MGI:2384993,NA,12.12,NA
MGI:1917110,30.48,8.72,3.04
MGI:2138281,16.02,8.42,1.64
MGI:1915120;MGI:1915120,19.46,8.22,2.04
MGI:1915087,5.42,11.26,0.45
MGI:2448759;MGI:2448759,49.13,6.89,5.93
MGI:1919055;MGI:1919055,28.55,13.34,2.08
MGI:1343262;MGI:1343262,23.38,6.84,2.83
MGI:2140494;MGI:2140494,26.46,5.11,4.1
MGI:1914179,20.98,6.74,2.58
MGI:1913462,101.78,14.67,6.95
MGI:1913788,52.73,7.73,5.79
,70.88,9.53,6.61
MGI:109638;MGI:109638,47.71,10.11,4.26
MGI:1920895;MGI:1920895,19.02,19.26,1.11
MGI:1917670,14.39,13.39,1.05
MGI:2445003;MGI:2445003,23.68,14.02,1.67
MGI:1344345;MGI:1344345,37.71,18.35,2.27
MGI:1351500,41.82,4.17,7.74
MGI:105941;MGI:105941,36.65,15.28,2.44
MGI:2443241;MGI:2443241,19.66,13.42,1.43
MGI:107749;MGI:107749;MGI:107749,20.76,14.79,1.41
MGI:1891112,17,16.98,1.35
,NA,NA,NA
MGI:1914289;MGI:1914289,22.94,7.8,2.53
MGI:1919214;MGI:1919214,NA,9.04,NA
MGI:1344347;MGI:1344347;MGI:1344347,2.47,17.89,0.15
MGI:1913604,27.87,8.67,2.8
MGI:1917447;MGI:1917447;MGI:1917447,NA,8.23,NA
MGI:1203500;MGI:1203500;MGI:1203500,81.49,15.13,5.52
MGI:1917349;MGI:1917349,24.05,8.94,2.37
MGI:2385079,40.45,14.31,2.81
MGI:88274,62.84,16.12,4.04
,NA,10.52,NA
MGI:107494,64.31,12.64,4.87
MGI:104899,10.38,7.66,1.15
MGI:1914394,NA,11.89,NA
MGI:2384313,36.24,11.67,2.9
MGI:2443767,NA,10.78,NA
MGI:2385189;MGI:2385189,24.9,12.07,1.95
MGI:1203524;MGI:1203524;MGI:1203524;MGI:1203524,31.02,14.89,2.1
MGI:700010,22.65,6.9,2.72
MGI:1340806,36.57,18.35,2.16
MGI:1354164;MGI:1354164,28.39,8.66,2.85
MGI:1915553,9.38,16.47,0.6
MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153;MGI:109153,15.11,13.04,1.14
MGI:1913618;MGI:1913618,34.2,9.49,3.2
MGI:87867,NA,11.46,NA
MGI:1913447,38.85,5.59,5.57
MGI:1921392;MGI:1921392,40.61,15.28,2.7
MGI:1891763,46.06,8.12,4.86
MGI:1934950;MGI:1934950,37.47,6.94,4.49
MGI:1346868,62.41,7.79,6.83
MGI:1917302,6.59,6.1,0.88
MGI:1920460,18.95,5.48,2.76
MGI:1919942,20.37,10.97,1.71
MGI:1345186,21.73,10.42,1.86
MGI:1354385,22.03,13.46,2.16
MGI:1859607,17.43,12.94,1.3
MGI:1914854;MGI:1914854,43.78,12.9,3.28
MGI:1346859;MGI:1346859,43.26,11.46,3.53
MGI:1913344,NA,NA,NA
MGI:97402;MGI:97402,177.08,16.34,11.27
MGI:1889844,10.82,14.38,0.75
MGI:1917507,90.32,10.89,7.62
MGI:1929242,9.48,13.91,0.81
MGI:1924836,NA,NA,NA
MGI:1915265,22.48,11.63,1.81
MGI:1922847,NA,12.8,NA
MGI:108481;MGI:108481,12.03,20.3,0.67
MGI:2147598,35.92,5.71,5.07
MGI:1916513,NA,6.91,NA
MGI:88470;MGI:88470,34.01,10.96,2.85
MGI:1916858,45.58,10.06,4.08
MGI:1933972,48.6,5.73,6.82
MGI:1913664,74.89,16.67,4.72
MGI:98926;MGI:98926,47.02,9.98,4.24
MGI:2178445;MGI:2178445,51.88,5.28,7.82
MGI:1919230;MGI:1919230,31.4,5.37,4.69
MGI:1928140,9.66,10.09,0.86
MGI:1929274,71.69,10.59,6.17
MGI:2137218,92.78,10.88,7.82
MGI:1342295;MGI:1342295;MGI:1342295;MGI:1342295,29.85,7.4,3.39
MGI:1353424,49.21,11.97,3.87
MGI:96602;MGI:96602;MGI:96602,89.07,17.22,5.49
MGI:1923576,24.52,8.01,2.62
MGI:1920196,NA,10.83,NA
MGI:1891840,41.86,14.9,2.84
MGI:2443665,37,15.1,2.5
MGI:104769;MGI:104769;MGI:104769;MGI:104769,63.41,17.96,3.8
MGI:107913;MGI:107913,11.3,9.43,1.06
MGI:2388287,4.25,11.51,0.29
MGI:104592;MGI:104592;MGI:104592;MGI:104592;MGI:104592;MGI:104592,14.87,6.56,1.87
MGI:1913495,21.45,15.5,1.41
MGI:1917475;MGI:1917475,17.39,8.37,1.79
MGI:1916403,37.48,18.74,2.22
MGI:1338800,NA,9.82,NA
MGI:1922845,9.43,13.08,0.7
MGI:104632;MGI:104632,8.15,8.89,0.8
MGI:1917162,13.29,6.34,1.71
MGI:1922066,31.8,20.7,1.79
MGI:2146370,13.5,7.01,1.61
MGI:1924233;MGI:1924233;MGI:1924233,16.91,12.33,1.31
MGI:2443487,11.14,5.71,1.57
MGI:1914536,15.7,8.35,1.62
,NA,NA,NA
MGI:1919519,10.57,10.96,0.98
MGI:1858898;MGI:1858898,17.97,11.1,1.5
MGI:1197010,51.76,11.28,4.26
MGI:107363;MGI:107363,17.52,12.08,1.37
MGI:1927204;MGI:1927204,25.97,9.52,2.42
MGI:1924555,18.14,6.46,2.3
MGI:1195267,69.4,12.45,5.31
MGI:2144566,56.59,5.87,7.78
,NA,NA,NA
MGI:95766,28.64,13.3,2.09
MGI:102959,14.58,15.29,0.97
MGI:1928141,12.21,15.33,0.81
MGI:101761;MGI:101761,82.21,5.51,11.96
MGI:1918850;MGI:1918850;MGI:1918850,19.18,4.89,3.09
MGI:1336172,36.45,7.87,3.94
MGI:1261820,8.07,12.15,0.63
MGI:1914523,44.9,14.2,3.14
MGI:96745;MGI:96745,212.13,22.98,10.98
MGI:1922901;MGI:1922901,13.43,7.28,1.55
MGI:107892,23.94,11.82,1.91
MGI:106095;MGI:106095,6.63,14.15,0.47
MGI:98643;MGI:3780996;MGI:3807476;MGI:98643,NA,NA,NA
MGI:1306775,12.06,10.7,1.05
MGI:1913371,24.81,8.29,2.58
MGI:2684929,57.62,8.59,5.83
MGI:1917328;MGI:1917328,10.92,13.38,0.8
MGI:1919420,20.8,5.75,2.91
MGI:2387215,9.15,16.21,0.59
MGI:1916321,56.6,11.31,6.01
MGI:1927947,99.35,18.45,5.86
MGI:1921084,16.91,8.41,1.74
MGI:1333830,27.8,8.17,2.92
MGI:105926,16.28,6.22,2.14
MGI:2679787;MGI:2679787,NA,10.39,NA
MGI:1928393,13.47,7.69,1.49
MGI:2444233;MGI:2444233,13.99,4.01,2.69
MGI:1916401,13.48,6.66,1.67
MGI:1344381;MGI:1344381,10.14,7.48,1.15
MGI:2140843,31.05,12.98,2.31
MGI:87926;MGI:87926,18.77,12.28,1.46
MGI:96647,55.02,4.26,10.02
MGI:1858197,37.08,9.44,3.48
MGI:1913560,26.14,8.45,2.67
MGI:1858330;MGI:1858330,38.62,6.09,5.15
MGI:1196368,23.71,10.86,2
MGI:106331,33.73,7.34,3.86
MGI:1913540,41.95,8.95,4.1
MGI:1917656;MGI:1917656,9.23,15.23,0.62
MGI:1351645,27.37,11.63,2.2
MGI:1277172,15.63,8.44,1.6
MGI:1277220,13.54,9.37,1.28
MGI:1931874,17.7,5.39,2.62
MGI:1341788,21.37,13.47,1.55
MGI:1890165,53.52,11.18,4.43
MGI:1353499,42.03,9.16,4.08
MGI:1095401,11.57,14.45,0.98
MGI:1334460;MGI:1334460,97.16,17.29,5.96
MGI:102772,11.07,17.66,0.78
MGI:98266,6.09,17.11,0.45
MGI:1346346;MGI:1346346;MGI:1346346;MGI:1346346,44.44,12.34,3.43
MGI:1913320,30.79,11.83,2.44
,29.47,8.28,3.09
MGI:106201;MGI:106201,24.09,10.88,2.03
MGI:1919433;MGI:1919433,27.72,9.14,2.67
MGI:1931352,NA,NA,NA
MGI:101834;MGI:2144208,52.04,11.77,4.15
MGI:2137229;MGI:2137229,27.33,6.53,3.45
MGI:1924657,32.13,7.12,3.77
MGI:96522;MGI:96522;MGI:96522,16.21,5.15,2.49
MGI:1891833;MGI:1891833;MGI:1891833,23.57,21.63,1.26
MGI:1913647,19.16,8.91,1.89
MGI:1346518,13.04,12.23,1.01
MGI:1913482,51.22,8.64,5.15
MGI:1194891,176.94,19.08,10.23
MGI:1919199;MGI:1919199,NA,9.77,NA
MGI:2444248,25.63,15.56,1.69
MGI:95755;MGI:95755,50.45,9.2,4.85
MGI:101789,33.76,12.96,2.53
MGI:1196412;MGI:1196412,37.94,13.61,2.73
MGI:1913649,10.93,7.47,1.24
MGI:1858317;MGI:1858317,NA,NA,NA
MGI:2388481,27.87,14.64,1.91
MGI:1917585;MGI:1917585,8.4,13.7,0.6
MGI:2442524,17.22,11.35,1.41
MGI:1923827;MGI:1923827,13.09,10.22,1.16
MGI:2384931;MGI:2384931,16.09,13.38,1.17
MGI:1913607,56.68,9.94,5.12
MGI:1923469,9.13,8.57,1.18
MGI:2444491;MGI:2444491,20.39,10.7,1.74
MGI:1915773,28.33,8.82,2.82
MGI:1915964;MGI:1915964,32.36,11.44,2.63
MGI:1201779,42.45,8.97,4.17
MGI:1915312,NA,NA,NA
MGI:1915546;MGI:1915546,24.89,13,1.85
MGI:1914947,15.44,10.27,1.36
MGI:2183447,8.64,13.92,0.61
MGI:88494;MGI:88494;MGI:88494;MGI:88494,2.63,7.42,0.3
MGI:1330587,24.45,17.68,1.48
MGI:1922083,9.7,14.82,0.66
MGI:2443162,12.1,19.52,0.69
MGI:1353418;MGI:1353418,41.25,10.8,3.5
MGI:1915061,33.36,10.36,2.92
MGI:107750;MGI:107750;MGI:107750;MGI:107750;MGI:107750,24.93,12.65,1.89
MGI:2660880,8.77,8.24,0.91
MGI:2685083,14.93,5.38,2.22
MGI:1343103,110.04,14.4,7.7
MGI:2135796,33.84,7.06,3.99
MGI:1201374;MGI:1201374;MGI:1201374,21.27,11.56,1.73
MGI:1913394,61.38,10.89,5.18
MGI:2660674;MGI:2660674,12,11.86,0.97
MGI:1915356;MGI:1915356,34.68,9.82,3.17
MGI:1098726;MGI:1098726,53.13,16,3.55
MGI:1338801;MGI:1338801,33.67,18.71,1.97
MGI:90676;MGI:90676;MGI:90676,57.27,8.59,5.78
MGI:2138811,43.7,11.59,3.53
MGI:1917446,43.71,12.25,3.4
MGI:1098623;MGI:1098623,11.45,18.69,0.67
MGI:1915465,15.36,8.33,1.59
MGI:1196260,28.02,9.21,2.68
MGI:1277096,NA,NA,NA
MGI:2387203,16.89,7.45,1.91
MGI:95904;MGI:95904;MGI:95904;MGI:95904,NA,NA,NA
MGI:88549,45.02,13.12,3.37
MGI:1349919,44.86,14.96,3.03
MGI:1913929,27.13,6.37,3.49
MGI:1349388,10.58,8.49,1.08
MGI:1929699,15.15,17.28,0.93
MGI:1859017,32.37,10.06,2.9
MGI:1923751,12.7,6.07,1.71
MGI:99846,25.44,9.86,2.34
MGI:1913492,24.45,8.6,2.48
MGI:1100514;MGI:1100514,36.5,8.69,3.76
MGI:107931;MGI:107931,189.75,9.95,17.18
MGI:2444479,22.02,5.84,3.05
MGI:1915290,10.15,7.86,1.1
MGI:1913415,29.17,9.32,2.78
MGI:1355272;MGI:1355272;MGI:1355272;MGI:1351660;MGI:1355272,NA,6.85,NA
MGI:1914963;MGI:1914963;MGI:1914963,11.16,9.76,1.06
MGI:1931871,31.31,9.97,2.84
MGI:1915566;MGI:1915566;MGI:1915566,NA,NA,NA
MGI:1100836;MGI:1100836,11.65,8.54,1.18
MGI:2137210,22.88,13.15,1.68
MGI:88116,NA,NA,NA
MGI:1923055,10.03,14.6,0.69
MGI:1351639;MGI:1351639,13.44,11.1,1.12
MGI:1919765,37.1,7.43,4.21
MGI:1914541,NA,6.78,NA
MGI:1338762,58.12,4.62,9.83
MGI:1309466,22.34,18.28,1.33
MGI:95300;MGI:95300;MGI:95300,16.9,8.49,1.72
MGI:103025,23.99,9.78,2.19
MGI:97568,23.95,10.84,2.03
MGI:2135756,41.33,10.24,3.65
MGI:107682,100.21,16.43,6.35
MGI:1889583;MGI:1889583;MGI:1889583;MGI:1889583;MGI:1889583,30.8,15.6,2.02
MGI:87979;MGI:87979;MGI:87979;MGI:87979;MGI:87979,4.77,5.88,0.76
MGI:1914679;MGI:1914679,14.62,19.22,0.85
MGI:107745;MGI:107745,NA,NA,NA
MGI:1913867;MGI:1913867,22.09,5.54,3.2
MGI:1924348,36.87,17.87,2.22
MGI:107851,49.18,13.12,3.63
MGI:1913337,26.46,11.41,2.16
,NA,NA,NA
MGI:1333812;MGI:1333812,58.7,12.02,6.11
MGI:1916241;MGI:1916241,NA,8.93,NA
MGI:1333816,3.01,13.64,0.22
MGI:1922523,20.89,11.36,1.71
MGI:109268,27.9,10.67,2.39
MGI:105968;MGI:105968,22.47,9.57,2.09
MGI:1914461;MGI:1914461,6.83,6.05,0.92
MGI:1916238;MGI:1916238;MGI:1916238,16.18,16.56,1.02
MGI:95776,8.37,8.38,0.86
MGI:1913634;MGI:1913634;MGI:1913634,21.42,8.78,2.16
MGI:1917685;MGI:1917685,42.73,9.3,4.05
MGI:1858260;MGI:1858260,10.78,5.19,1.65
MGI:1891827,29.32,13.66,2.1
MGI:2183439,NA,11.59,NA
MGI:1889001,22.61,11.37,1.85
MGI:1925301,25.49,13.11,1.88
MGI:1915005,32.03,7.25,3.7
MGI:2138915,37.66,11.1,3.14
MGI:1343131,46.82,6.65,5.82
MGI:98373,390.78,23.61,20.18
MGI:87930,10.93,14.7,0.89
MGI:1915115,14.33,8.44,1.47
MGI:893597,13.88,7,1.65
MGI:1915127;MGI:1915127,20.21,5.36,3.01
MGI:1289282,19.5,7.86,2.11
MGI:2443538,18.71,11.78,1.49
MGI:102956,3.28,8.31,0.34
MGI:1344380;MGI:1344380;MGI:1344380,45.57,16.64,2.87
MGI:1914451;MGI:1914451;MGI:1914451,4.72,14.26,0.41
MGI:1352481,17.92,6.71,2.21
MGI:1917580;MGI:1917580;MGI:1917580;MGI:1917580,15.38,10.62,1.32
MGI:1913468,154.25,14.06,10.85
MGI:96829,11.64,16.33,0.74
MGI:1913459,4.37,4.43,0.82
MGI:1925831,6.72,5.58,0.97
MGI:1315197,15.91,4.31,2.87
MGI:1919451,14.71,11.19,1.22
MGI:97837;MGI:97837;MGI:97837;MGI:97837;MGI:97837;MGI:97837;MGI:97837;MGI:97837,16.43,9.72,1.51
MGI:1916491,16.62,4.67,2.79
MGI:1351658;MGI:1351658,58.32,16.96,3.67
MGI:1924113,42.76,10.11,3.81
MGI:1354962,53.33,16.1,3.43
MGI:109443,33.55,12.44,2.57
MGI:1932557,19.51,20.61,1.08
MGI:2137202;MGI:2137202,3.68,10.99,0.31
MGI:97565,12.69,11.19,1.11
MGI:2145955,19.48,5.1,3.02
MGI:1860295,72.71,12.85,5.51
MGI:2149842,22.71,15.09,1.53
MGI:109239;MGI:109239;MGI:109239,NA,16.74,NA
MGI:1914558,16.79,5.36,2.5
MGI:1346017,9.95,8.42,1.02
,NA,NA,NA
MGI:1916962,16.62,7.75,1.82
MGI:1913402,150.83,13.97,10.71
MGI:1920909;MGI:1920909;MGI:1920909;MGI:1920909,21.25,16.71,1.34
MGI:97618;MGI:1347041;MGI:1347041;MGI:1341833;MGI:97618,NA,NA,NA
MGI:1913431,49.03,10.86,4.14
MGI:107592,NA,NA,NA
MGI:98445,85.61,18.94,4.96
MGI:1347000,19.06,11.13,1.58
MGI:1924270;MGI:1924270,10.96,7.5,1.23
MGI:1916221,12.29,9.84,1.12
MGI:1921256;MGI:1921256;MGI:1921256;MGI:1921256,16.94,7.17,1.98
MGI:1925644;MGI:1925644,18.8,6.88,2.27
MGI:1927468;MGI:1927468;MGI:1927468,12.44,18.4,0.74
MGI:1914869,34.53,5.79,4.81
MGI:1914166,53.47,15.2,3.67
MGI:1916622,2.33,3.41,0.39
MGI:104902,40.97,19.64,2.33
MGI:107339,29.3,14.11,2.06
MGI:103009;MGI:103009;MGI:103009;MGI:103009,20.58,16.34,1.31
MGI:1913481;MGI:1913481,30.54,7.9,3.29
MGI:104559,33.31,19.84,1.88
MGI:1346078;MGI:1346078,11.46,9.66,1.06
MGI:1916245;MGI:1916245,13.75,5.07,2.15
MGI:2387201,25.35,6.19,3.34
MGI:1343104,5.77,6.58,0.72
MGI:2384838;MGI:2384838,10.6,6.9,1.28
MGI:1914161;MGI:1914161;MGI:1914161,13.79,6.63,1.72
MGI:1354721,10.38,7.59,1.16
MGI:1917611,17.52,17.48,1.07
MGI:1099431;MGI:1099431,12.45,9.59,1.15
MGI:1927868,13.28,11.56,1.07
MGI:1889802,11.75,14.51,1.24
MGI:106687;MGI:106687,20.01,7.24,2.32
MGI:96112;MGI:96112;MGI:96112;MGI:96112,10.24,11.7,0.82
MGI:2180003;MGI:2180003,38.15,14.17,2.67
MGI:1923792,4.46,10,0.58
MGI:1914099,5.64,16.07,0.36
MGI:1913937,10.79,9.09,1.04
MGI:2135962;MGI:2135962;MGI:2135962;MGI:2135962,44.16,12.67,3.34
MGI:1922656,51.27,12.64,3.89
MGI:1916457;MGI:1916457,NA,6.7,NA
MGI:1915208;MGI:1915208;MGI:1915208,8.95,9.39,0.84
MGI:1890358;MGI:1890358;MGI:1890358,15.66,7.31,1.8
MGI:1860276;MGI:1860276,45.54,9.02,4.43
MGI:99511;MGI:99511,36.26,12.65,2.75
MGI:1914228;MGI:1914228;MGI:1914228;MGI:1914228,5.5,5.9,0.75
MGI:95665,35.83,14.62,2.45
MGI:1932697,38.55,14.53,2.73
MGI:1913789,27.36,8.78,2.72
MGI:1914251;MGI:1914251,24.87,5.7,3.51
MGI:1918952,17.22,9.01,1.68
MGI:97960;MGI:97960;MGI:97960,15.19,7.83,1.65
MGI:1309528;MGI:1309528,19.78,4.96,3.15
MGI:107624,11.42,14.4,0.94
MGI:1915548;MGI:1915548,34.76,14.17,2.43
MGI:1921398;MGI:1921398;MGI:1921398,35.58,12.08,2.79
MGI:1924209,22.81,9.4,2.16
MGI:1914735,21.07,10.51,1.82
MGI:1919599,4.24,4,1.07
MGI:98931;MGI:98931,19.1,15.65,1.25
MGI:88031;MGI:88031;MGI:88031,13.13,12.58,1
MGI:1918568;MGI:1918568,34.25,11.53,2.77
MGI:1343161;MGI:1343161,38.53,8.9,3.78
MGI:2385007,NA,8.11,NA
,17.46,11.57,1.41
MGI:1100500,8.45,12.23,0.79
MGI:1915813,44.47,10.78,3.78
MGI:1916167,3.62,10.65,0.31
MGI:1347072,24.47,10.07,2.19
MGI:1100515,11.11,5.27,1.68
MGI:1921818;MGI:1921818,18.54,7.66,2.05
MGI:109299;MGI:109299;MGI:109299,11.78,6.69,1.46
MGI:1914473,NA,7.6,NA
MGI:1915054,12.45,9.46,1.17
MGI:87913,9.13,12,0.86
MGI:1920328,35.14,14.42,2.43
MGI:894668,6.12,15.08,1.07
MGI:2384876,12.33,6.84,1.49
MGI:1919964;MGI:1919964,13.89,6.43,1.77
MGI:1916229;MGI:1916229,24.42,11.44,1.99
MGI:1914688,12.51,13.21,0.92
MGI:1349762;MGI:1349762;MGI:1349762,15.53,8.7,1.56
MGI:1919747;MGI:1919747,41.76,6.17,5.52
MGI:1923036;MGI:1923036;MGI:1923036,22.05,11.61,1.78
MGI:88218,16.31,5.72,2.3
MGI:1890948,20.66,10.15,1.84
MGI:3609243,3.99,8.53,0.37
MGI:107460,173.54,15.17,11.61
MGI:1916114,9.04,4.67,1.51
MGI:1337026;MGI:1337026;MGI:1337026;MGI:1337026,34.21,12.95,2.55
MGI:894286;MGI:894286;MGI:894286,17.94,19.79,1.02
MGI:105100;MGI:105100,36.73,12.04,2.89
MGI:102657,52.89,9.2,5.06
MGI:1915090,5.12,19.79,0.29
MGI:1913498,20.49,8.93,2.01
MGI:2442563;MGI:2442563,26.05,6.45,3.31
MGI:2153089,19.7,5.42,2.9
MGI:105942;MGI:105942,42.58,13.63,3.06
MGI:98397;MGI:98397;MGI:98397,44.1,8.2,4.63
MGI:98512;MGI:98512;MGI:98512,36.51,13.31,2.67
MGI:1337062,NA,NA,NA
MGI:106652,5.36,8.51,0.55
MGI:1929237;MGI:1929237;MGI:1929237;MGI:1929237,31.88,5.87,4.39
MGI:1913298,29.21,8.31,3.03
MGI:2677480,10.86,4.78,1.8
MGI:1914544,16.87,11.64,1.35
MGI:2141625,26.43,13.42,1.93
MGI:1914094;MGI:1914094,NA,10.89,NA
MGI:103264;MGI:103264;MGI:103264;MGI:103264,45.83,6.74,5.63
MGI:1333794,33.21,7.4,3.78
MGI:1913667;MGI:1913667,13.92,6.09,1.86
MGI:1927136;MGI:1927136,5.74,8.38,0.59
MGI:1913741,NA,9.64,NA
MGI:1913405,42.85,12.12,3.34
MGI:1916867;MGI:1916867;MGI:1916867,25.91,18.16,1.54
MGI:1916288;MGI:1916288,77.09,13.97,5.45
MGI:1315201,28.76,12.82,2.16
MGI:105491,28.69,11.26,2.36
MGI:1915367;MGI:1915367,7.59,12.65,0.58
MGI:1916046;MGI:1916046,27.31,10.99,2.29
MGI:109618,18.18,9.68,1.67
MGI:1914957,25.19,5.7,3.55
MGI:1914223,43.59,7.48,4.92
MGI:2140220;MGI:2140220;MGI:2140220,23.91,14.88,1.62
MGI:109324,NA,8.06,NA
MGI:1860512;MGI:1860512,24.85,9.27,2.37
MGI:1098267;MGI:1098267;MGI:1098267;MGI:1098267,11.39,22.72,0.59
MGI:1918019;MGI:1918019;MGI:1918019;MGI:1918019,43.25,12.17,3.37
MGI:1929253,24.46,12.79,1.84
MGI:95777;MGI:95777;MGI:95777;MGI:95777;MGI:95777,96.29,25.29,4.74
MGI:1928142,21.64,15.16,1.45
MGI:1353605;MGI:1353605,20.05,7.02,2.38
,NA,NA,NA
MGI:1917023,10.59,5.29,1.59
MGI:109127;MGI:109127;MGI:109127,75.7,4.16,14.05
MGI:1916840,NA,8.24,NA
MGI:106581,14.34,10.99,1.2
MGI:2385175;MGI:2385175,41.45,9.35,3.92
MGI:1913742,11.53,13.42,0.84
MGI:1916339,9.92,11.98,0.78
MGI:1915040,4.27,6.25,0.56
MGI:95909,74.09,10.72,6.32
MGI:1917457,4.97,4.59,0.85
MGI:107567;MGI:107567;MGI:107567,11.94,4.81,1.77
MGI:88468,308.72,40.47,12.28
MGI:1098268;MGI:1098268,18,12.34,1.41
MGI:103226,68.21,19.67,3.87
MGI:1913705,11.14,10,1.02
MGI:1927133,14.62,9.27,1.39
MGI:104819;MGI:104819;MGI:104819,108.63,15.04,7.44
MGI:96960;MGI:96960,17.39,11.79,1.38
MGI:106603,4.82,19.02,0.51
MGI:1339986,11.58,5.09,1.81
MGI:1098244,82.38,13.51,5.96
MGI:1925201,16.57,6.54,2.09
MGI:95679,NA,NA,NA
MGI:1890508,20.81,17.48,1.28
