MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:95834,159.36,25.68,7.85
MGI:97750,169.55,16.2,10.85
MGI:97503;MGI:97503,206.43,10.44,17.97
MGI:97464;MGI:97464,NA,27.69,NA
MGI:1927099,1671.28,27.91,78.33
MGI:1342273,157.28,11.95,12.43
MGI:1351605;MGI:1351605,NA,NA,NA
MGI:102547,NA,NA,NA
MGI:1924058;MGI:1924058,18.12,21.5,0.97
MGI:97803;MGI:3651567,NA,23.62,43.03
MGI:1914347;MGI:1914347,NA,15.31,10.9
MGI:107801,394.35,18.5,23.23
MGI:108202;MGI:108202,NA,18.35,NA
MGI:1915443;MGI:1915443;MGI:1915443,NA,NA,NA
MGI:94893;MGI:94893;MGI:94893,169.08,19.27,9.89
MGI:1915686,NA,NA,NA
MGI:97167,164.18,16.05,10.58
MGI:95865;MGI:95864,405.77,21.21,22.16
MGI:1913730,6.3,9.04,0.61
MGI:2183441;MGI:2183441,188.75,13.25,13.83
MGI:1270839,78.88,9.88,7.17
MGI:107717,378.13,15.69,24.71
MGI:104680;MGI:1935159,73.62,11.99,8.86
MGI:107943,156.59,11.42,12.75
MGI:98797,147.79,24.57,8.94
MGI:1201378;MGI:1201378,103.36,11.04,8.63
MGI:101849,754.79,18.99,43.72
MGI:102688,9.95,5.27,1.5
MGI:1355330,84.37,17.53,5.13
MGI:1914120;MGI:1914120;MGI:1914120,70.31,31.92,3.07
MGI:97550;MGI:97550,360.19,12.39,27.77
MGI:97572;MGI:97572;MGI:97572,28.87,10.07,2.59
MGI:98874,172.49,10.56,14.88
MGI:99919,NA,NA,NA
MGI:98817;MGI:98817,228.74,25.94,11.66
MGI:96097;MGI:2448283;MGI:2448314;MGI:2448316,NA,NA,NA
MGI:97286,98.73,27.85,4.88
MGI:1860267;MGI:1860267;MGI:3612444;MGI:1860267;MGI:1860267,35.71,10.54,3.08
MGI:96250,274.96,12.17,21.7
MGI:1099460;MGI:1099460,72.67,10.92,6.16
MGI:2138133;MGI:2138133,160.13,18.13,9.54
MGI:894320,NA,NA,NA
MGI:891963;MGI:891963,29.69,10.89,2.5
MGI:1339468,436.84,10.69,37.47
MGI:1929270,158.22,11.6,12.78
MGI:1344408,167.35,17.26,10.32
MGI:88115,126.54,19.1,7.31
MGI:104708,246.99,13.66,17.71
MGI:1274789,NA,14.96,NA
MGI:1859516,NA,NA,NA
MGI:1347070,191.06,16.55,12.08
MGI:2445289,330.02,11.53,26.69
MGI:102709;MGI:102709,97.47,13,8.37
MGI:97791;MGI:97791,130.7,11.48,10.65
MGI:107185,372.99,13.55,26.92
MGI:96269,127.67,8.23,13.33
MGI:1352745,136,15.33,9.03
MGI:1196288;MGI:1196288,133.65,11.67,10.81
MGI:88529,80.96,18.48,4.77
MGI:1347045,108.59,12.31,8.37
MGI:97788,27.18,12.32,2.1
MGI:1321133,238.03,13.76,17.13
MGI:1915339;MGI:1915339,45.74,15.78,2.99
MGI:98345,204.02,17.15,12.63
MGI:88578,NA,NA,NA
MGI:2448270;MGI:2448270,NA,NA,NA
MGI:105037,108.63,8.71,10.85
MGI:104883,9.84,12.33,0.76
MGI:96157,4.48,10.11,0.41
MGI:101947;MGI:101947;MGI:101947;MGI:101947,19.8,22.13,1.05
MGI:98285;MGI:98285;MGI:3649769,35.05,12.1,2.74
MGI:107183,111.88,13.3,8.21
,NA,NA,NA
MGI:1201789,NA,NA,NA
MGI:1855692,128.2,15.08,8.62
MGI:107186;MGI:107186,182.71,12.45,14
MGI:95486,NA,10.54,9.87
MGI:103064;MGI:1349406,138.3,6.23,18.12
MGI:109514,221.34,12.15,17.34
MGI:95421,78.86,13.37,5.74
MGI:1353498,231.53,12.54,17.66
MGI:1347060,170.49,11.45,13.88
MGI:105125,146.59,5.39,21.84
MGI:894684,138.24,20.17,7.75
MGI:99240;MGI:99240,113.7,7.6,12.68
MGI:1347005,104.83,10.97,8.83
MGI:1347009,48.21,11.62,3.87
MGI:88351,44.87,8.9,4.41
MGI:2668828;MGI:2145541;MGI:2448349;MGI:2448350,NA,NA,NA
MGI:1929520,437.27,19.06,25.44
MGI:1347006,146.33,10.36,12.8
MGI:1858305,99.44,14.47,6.86
MGI:98535;MGI:98535,152.77,11.11,12.69
MGI:107184,176.67,16.81,11.04
MGI:104678,1107.41,14.45,76.43
MGI:97845;MGI:97845;MGI:2180784;MGI:2180784;MGI:2180784,NA,13.61,NA
MGI:106919;MGI:106919,112.07,15.33,7.44
MGI:1277961;MGI:1277961;MGI:1277961,115.77,10.2,10.26
MGI:105068,169.6,8.13,17.86
MGI:108447,20.35,15.78,1.39
MGI:107795;MGI:107795;MGI:107795,NA,NA,NA
MGI:95792,77.57,15.82,5.07
MGI:1349431;MGI:1349430;MGI:1349431;MGI:1349430,NA,10.47,16.82
MGI:1349722;MGI:1349722,717.4,18.6,42.07
,NA,NA,NA
MGI:96245;MGI:96245,134.72,14.78,9.16
MGI:1914988,61.12,8.97,5.98
MGI:1202875,98.86,10.96,8.31
MGI:1338798,399.59,10.36,34.99
MGI:1913355,37.69,11.05,3.14
MGI:2444552,NA,NA,NA
MGI:1277989,76.43,10.68,6.55
MGI:104689,101.61,9.95,9.16
MGI:107365;MGI:107365,28.91,11.68,2.32
MGI:1928894,NA,NA,NA
MGI:1891925;MGI:1891925,116.8,6.58,14.61
MGI:95556;MGI:95556,323.62,20.85,17.72
MGI:99146;MGI:99146,120.28,17.79,7.31
MGI:1931527,NA,NA,NA
MGI:1929282,49.9,9.69,4.59
MGI:95299,19.96,11.92,1.58
MGI:1345635,154.76,6.38,19.89
MGI:109130,134.66,16.72,8.5
MGI:106028,81,13.2,5.95
MGI:98230,50.91,10.84,4.31
MGI:104884,119.63,13.19,8.79
MGI:97831,115.93,12.77,8.72
MGI:101790;MGI:101790,16.2,25.59,2.05
MGI:1100851;MGI:1100851,13.35,9.44,1.26
MGI:1913293,113.6,16.9,7.08
MGI:102520;MGI:102520,85.63,9.85,7.8
MGI:103016;MGI:103016,229.18,15.75,14.99
MGI:103187,79.61,11.41,6.48
MGI:101940,140.86,13.95,10
MGI:1858195,143.69,11.45,11.74
MGI:109486,98.11,12.56,7.46
MGI:1347014,256.61,12.85,19.44
MGI:88252,315.48,34.09,13.68
MGI:96414,75.32,14.45,6.47
MGI:106341,130.38,14.35,9.04
MGI:1914582,176.35,10.7,15.45
MGI:1918764,57.29,13.86,4.08
MGI:87968,11.62,15.84,0.91
MGI:2444926,63.11,10.49,5.47
MGI:1914878;MGI:1914878,205.3,15.87,13.99
MGI:2388633;MGI:2388633,132.58,14.6,9.1
MGI:1350933;MGI:1350933,78.25,16.34,5.08
MGI:98283;MGI:98283;MGI:98283,49.95,11.27,4.11
MGI:107532;MGI:107532,125.05,13.78,8.92
MGI:1333871;MGI:1333871;MGI:1333871,47.58,15.09,3.59
MGI:102503,NA,NA,NA
MGI:109240,28.65,13.51,2.07
MGI:106211,78.5,13.16,5.78
MGI:95797,92.48,27.15,4.37
MGI:1339951,35.81,11.13,2.98
MGI:1098257,213.44,15.01,14.39
MGI:105066,40.29,12.61,3.06
MGI:109367,NA,9.65,17.58
MGI:1096365;MGI:1096365,51.53,13.45,5.97
MGI:2158813,NA,NA,NA
MGI:1915261,NA,5.65,29.44
MGI:96217,48.44,11.89,3.83
MGI:1915191,166.6,10.48,14.55
MGI:2449202,187.34,12.57,14.24
MGI:1917606,116.36,13.87,8.37
MGI:1341822,140.89,14.77,9.59
MGI:1859821;MGI:1859821;MGI:1859821;MGI:1859821;MGI:1859821,95.98,10.3,8.48
MGI:99845;MGI:99845,69.76,16.68,4.38
MGI:104885;MGI:104885,130.05,11.81,10.33
MGI:95781,NA,18.7,NA
MGI:106181;MGI:106181,189.66,15.96,12.26
MGI:1351352,74.96,13.09,5.54
MGI:96739,NA,NA,NA
MGI:108515;MGI:108515,NA,7.76,6.06
MGI:1926967;MGI:1926967,60.01,18.51,3.54
MGI:107502,NA,NA,NA
MGI:1890773;MGI:1890773,121.67,16.2,7.82
MGI:106098,41.8,15.91,3.63
MGI:2148924,161.73,10.68,13.99
MGI:1353561,43.46,6.85,5.26
MGI:107681,18.61,11.62,1.56
MGI:1351511,69.67,8.89,6.89
MGI:1353460,46.76,7.7,7.32
MGI:99425;MGI:99425,2.88,15.3,0.19
MGI:1916327,61.05,5.94,8.32
MGI:97553;MGI:97553,102.94,17.22,6.34
MGI:1919367;MGI:1919367;MGI:1919367;MGI:1919367;MGI:1919367,32.56,10.17,2.89
MGI:1330312;MGI:1889515,58.38,8.15,6.15
MGI:1341878;MGI:1341878,75.53,12.54,5.78
MGI:1923731,NA,8.3,NA
MGI:1934835,NA,NA,NA
MGI:1341044;MGI:1341044;MGI:1913144;MGI:1913144;MGI:1913144,NA,8.26,NA
MGI:1194505;MGI:1194505,125.6,8.55,12.72
MGI:1277968,75.33,19.1,4.37
MGI:2138741;MGI:2138741,60.32,9.16,5.79
MGI:108403,NA,4.99,NA
MGI:109372,NA,8.51,NA
,NA,NA,NA
MGI:1261437;MGI:1261437;MGI:1261437;MGI:1261437;MGI:1261437,80.62,14.17,5.64
MGI:2444848,11.04,7.39,1.26
